Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km
Abekwai,7.8463971,-2.1670998,188.0,234.0,WorldPop_2020,village/town/hamlet,Methodist Hospital Wenchi,Hospital,7.7380768,-2.1113099,13.52,0.53,122.93756197899782
Abelenkpe,5.6080036,-0.2173342,28.0,69992.0,WorldPop_2020,suburb,Citadel Clinic,Doctor,5.6041598,-0.218911,0.46,0.81,70.47913639368649
Aben,5.4564074,-1.1914212,93.0,378.0,WorldPop_2020,village/town/hamlet,Hayford Dorothy,Pharmacy,5.2450265,-1.2480883,24.33,0.67,116.71518354791942
Abena Akokrom,7.0314271,-2.5175493,243.0,488.0,WorldPop_2020,village/town/hamlet,Apenamadi chips compound,Clinic,6.9264342,-2.4563998,13.49,0.81,94.00835804834605
Abenaboma,6.7194899,-0.5384159,87.0,383.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,15.99,0.83,58.05413500190141
Abenase,6.007133,-1.0354262,136.0,7731.0,WorldPop_2020,village/town/hamlet,School Clinic,Clinic,5.9697837,-0.9931264,6.26,0.53,68.71497426217745
Abenase,6.5679025,-0.7789242,230.0,7547.0,WorldPop_2020,village/town/hamlet,Roman Catholic Hospital,Hospital,6.5466382,-0.7733547,2.44,0.53,54.64535857025372
Abenase,6.6864131,-1.4388088,259.0,3716.0,WorldPop_2020,village/town/hamlet,Roseth community eye care,Hospital,6.7176919,-1.4656783,4.57,0.82,41.13098920399697
Abenaso,6.2175255,-0.7431893,169.0,1588.0,WorldPop_2020,village/town/hamlet,Abomosu Clinic,Hospital,6.3001218,-0.7342024,9.24,0.81,32.9088460271176
Abenawia,6.0089871,-0.1419613,175.0,709.0,WorldPop_2020,village/town/hamlet,Daniel A. Tetteh ( Awokye Drug Store),Pharmacy,6.0164575,-0.0778634,7.14,0.81,39.912842209082996
Abenayo,5.8746635,-0.5464304,173.0,793.0,WorldPop_2020,village/town/hamlet,Odumkyere Darmang Health Centre,Clinic,5.8688274,-0.5422364,0.8,0.63,37.935503444736305
Abene,6.7026898,-0.785397,173.0,807.0,WorldPop_2020,village/town/hamlet,Nat Herbal Clinic,Clinic,6.6342427,-0.7403711,9.09,0.92,66.82201176480423
Abenoa,7.0971715,-0.9365834,140.0,491.0,WorldPop_2020,village/town/hamlet,Agogo Presbyterian hospital,Hospital,6.7965698,-1.0855078,37.25,0.81,49.819096804677265
Abepotia,6.5417855,-0.7910828,221.0,4664.0,WorldPop_2020,village/town/hamlet,Roman Catholic Hospital,Hospital,6.5466382,-0.7733547,2.03,0.53,53.49837705790825
Aberenkwo Junction,8.3119085,0.4817759,202.0,525.0,WorldPop_2020,village/town/hamlet,Medical Village Mortuary,Hospital,8.2595616,0.5110961,6.66,0.53,78.72426493073846
Aberenwanko Ananfo,6.1251563,-0.184131,167.0,674.0,WorldPop_2020,village/town/hamlet,EverCare Pharmacy,Pharmacy,6.1284523,-0.2123742,3.14,0.81,30.246907482428227
Aberfor,5.5910817,-0.5485057,97.0,853.0,WorldPop_2020,village/town/hamlet,Ayiresu Chip Compound,Hospital,5.6211389,-0.5218935,4.45,0.63,68.57860820461147
Abertima,6.1294704,-0.1132642,149.0,388.0,WorldPop_2020,village/town/hamlet,Okra Kwadwo Health Centre,Clinic,6.1089919,-0.1057473,2.42,0.63,37.7286191484446
Abesem,6.2235211,-0.6255515,229.0,778.0,WorldPop_2020,village/town/hamlet,Kibi Government Hospital,Hospital,6.1670503,-0.5552595,9.99,0.53,19.98193034708381
Abesewa,6.4236146,-1.5556316,214.0,1744.0,WorldPop_2020,village/town/hamlet,Ahwenie Memorial Hospital,Hospital,6.4549977,-1.5704577,3.86,0.53,72.2601980956135
Abesewa,7.0429425,-2.0223312,284.0,1641.0,WorldPop_2020,village/town/hamlet,Bechem Government Hospital,Hospital,7.0875431,-2.0304926,5.04,0.53,70.37108618503636
Abesewase,6.773378,-1.3831642,289.0,523.0,WorldPop_2020,village/town/hamlet,SICK,Hospital,6.8126582,-1.4265516,6.48,0.53,31.090457622976192
Abesey,5.7145239,-0.2718151,47.0,5411.0,WorldPop_2020,village/town/hamlet,MEDIMAFO Herbal Hope,Hospital,5.7180502,-0.2824956,1.25,0.81,57.33452170930702
Abesim,6.6608645,-2.4917024,197.0,507.0,WorldPop_2020,isolated_dwelling,Goemat Pharmacy,Pharmacy,6.6927098,-2.4422716,6.51,0.81,52.96274333252263
Abesim,7.287233,-2.2693527,277.0,3962.0,WorldPop_2020,suburb,THOMAS AND THOMAS,Clinic,7.3023932,-2.2951265,3.3,0.53,100.96133678784477
Abesim-Nkran No.1,7.2727448,-2.3123015,242.0,1194.0,WorldPop_2020,village/town/hamlet,THOMAS AND THOMAS,Clinic,7.3023932,-2.2951265,3.8,0.53,105.17777308821397
Abesle,6.4262587,-0.2231893,355.0,732.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,8.89,0.95,34.93013903097006
Abesre,6.4149634,-0.2164231,353.0,695.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,7.85,0.95,34.603954785544005
Abetema,5.8605062,-0.2737087,80.0,408.0,WorldPop_2020,village/town/hamlet,Ever Care Pharmacy,Pharmacy,5.8102892,-0.3351267,8.79,0.81,42.38722851441651
Abetenim,6.7961873,-1.3837553,308.0,376.0,WorldPop_2020,village/town/hamlet,SICK,Hospital,6.8126582,-1.4265516,5.07,0.53,28.567561270145426
Abetifi,6.672433,-0.743845,600.0,5631.0,WorldPop_2020,village/town/hamlet,Nat Herbal Clinic,Clinic,6.6342427,-0.7403711,4.26,0.92,61.502931767692054
