Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km
Apeabra,7.0585068,-0.0209776,171.0,217.0,WorldPop_2020,village/town/hamlet,Adeemmra Health Centre,Health_Center,7.059876,-0.0556747,3.83,0.67,66.21969454503738
Apeadu-Kokoben,6.6652869,-1.5126908,272.0,20392.0,WorldPop_2020,suburb,Janedor,Pharmacy,6.6651957,-1.5128103,0.02,0.81,45.28068768419709
Apeakurom,6.654091,-0.8634621,248.0,290.0,WorldPop_2020,village/town/hamlet,Apradang Clinic,Hospital,6.5486346,-0.8663086,11.73,0.53,67.9891710340709
Apeatu,6.006565,-0.4360306,173.0,2351.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,3.62,0.63,21.71913965264018
Apedwa,6.1314602,-0.4993893,245.0,6574.0,WorldPop_2020,village/town/hamlet,Maryland Clinic,Clinic,6.18275,-0.472341,6.44,0.81,9.834757365349914
Apedwa Nkwanta,6.1137066,-0.488955,224.0,2885.0,WorldPop_2020,village/town/hamlet,Maryland Clinic,Clinic,6.18275,-0.472341,7.89,0.81,10.920120122155483
Apeguso,6.3141895,0.1567858,73.0,3106.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.3663386,0.1838588,6.53,0.61,19.28702637736463
Apeguso New Town,6.3096094,0.1587439,78.0,2690.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.3663386,0.1838588,6.89,0.61,19.787529921235834
Apemanim,6.609418,-1.7098439,272.0,1193.0,WorldPop_2020,village/town/hamlet,Gary Marvin Memorial Hospital,Hospital,6.604927,-1.6603731,5.49,0.53,60.89387130545994
Apemanyim,4.9209222,-1.9783939,52.0,1743.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,4.8888154,-1.9650078,3.87,0.61,150.30786072141345
Apemso,6.839673,-1.3646597,331.0,1054.0,WorldPop_2020,village/town/hamlet,Asokore Ahmadiyya Hospital,Hospital,6.8448217,-1.3830389,2.11,0.63,23.86919261838318
Apenenadi,6.9285807,-2.4575244,221.0,292.0,WorldPop_2020,village/town/hamlet,Apenamadi chips compound,Clinic,6.9264342,-2.4563998,0.27,0.81,82.6173205688705
Apenimadi,6.7538521,-2.056018,277.0,393.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,18.02,0.53,79.03012638912418
Apenten,7.2458064,-1.7801446,270.0,176.0,WorldPop_2020,village/town/hamlet,Nkwankwaa Health Centre,Clinic,7.2179158,-1.79409,3.46,0.92,48.4550874216785
Aperade,5.7813808,-1.0946953,152.0,9732.0,WorldPop_2020,village/town/hamlet,Achiase Health Centre,Hospital,5.8447952,-1.0011211,12.52,0.63,85.59095214004311
Aperekurom,6.4724997,-0.7765228,231.0,601.0,WorldPop_2020,village/town/hamlet,Soafa Scientific Herbal Hospital,Hospital,6.533256,-0.7505454,7.34,0.53,47.180333706593245
Apersua,6.1392404,-0.1965634,206.0,1047.0,WorldPop_2020,village/town/hamlet,EverCare Pharmacy,Pharmacy,6.1284523,-0.2123742,2.12,0.81,28.506786454543928
Apesika,5.9766137,-0.2097783,203.0,476.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,10.52,0.53,36.19417776555857
Apesika,6.4952774,-0.6333013,231.0,117.0,WorldPop_2020,village/town/hamlet,New Jejeti Health Centre,Hospital,6.4759191,-0.6539157,3.13,0.53,38.411125106363926
Apesika,6.6704126,-0.4932046,246.0,69.0,WorldPop_2020,village/town/hamlet,Asaaseboma CHPs Compound,Health_Post,6.7453453,-0.3607664,16.83,0.67,51.98421945014129
Apesika,7.0697691,-2.1946612,252.0,312.0,WorldPop_2020,village/town/hamlet,Agya Nti,Pharmacy,7.0040968,-2.1669627,7.92,0.81,89.41250577512126
Apesika,7.9980588,-1.5446523,329.0,2126.0,WorldPop_2020,village/town/hamlet,Be im Chips Compound,Clinic,8.0019431,-1.4694021,8.3,0.81,105.8193112205402
Apewosika,5.1059094,-1.2881142,23.0,16698.0,WorldPop_2020,suburb,Ashgin Pharmacy,Pharmacy,5.1038348,-1.2866986,0.28,0.94,153.00222992865488
Apewosika,5.2010418,-1.2759228,61.0,1690.0,WorldPop_2020,village/town/hamlet,CCTU Clinic,Clinic,5.1536489,-1.2783217,5.28,0.81,143.93396050473248
Apewu,6.4714946,-1.4326321,111.0,831.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,4.4,0.53,64.68457890001407
Apiakwa,5.5533316,-0.768695,101.0,629.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.5451393,-0.7027459,7.36,0.81,80.20092449099403
Apiasua,7.4190674,-1.730985,226.0,294.0,WorldPop_2020,village/town/hamlet,HAPPY FAMILY CLINIC,Clinic,7.5590959,-1.7180471,15.64,0.53,55.509880060764374
Apiasua No.1,7.3543269,-1.7354348,261.0,652.0,WorldPop_2020,village/town/hamlet,Nkwankwaa Health Centre,Clinic,7.2179158,-1.79409,16.49,0.92,50.9237064531681
Apiasua No.2,7.3600143,-1.730926,238.0,521.0,WorldPop_2020,isolated_dwelling,Nkwankwaa Health Centre,Clinic,7.2179158,-1.79409,17.27,0.92,50.961441089180305
Apiate,5.5849113,-2.046445,53.0,720.0,WorldPop_2020,village/town/hamlet,Bogoso Clinic,Clinic,5.5695349,-2.0195425,3.43,0.81,81.9329142961858
Apimso,6.7589707,-1.409661,294.0,345.0,WorldPop_2020,village/town/hamlet,George & Angelina,Clinic,6.7433264,-1.458069,5.62,0.81,32.79158192892074
Apimsu,6.30717,-0.0845754,173.0,467.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,12.55,0.95,33.90096290083335
Apinaman,6.081893,-0.6929005,212.0,3638.0,WorldPop_2020,village/town/hamlet,ST. DOMINIC CATHOLIC HOSPITAL,Hospital,6.0476654,-0.7984533,12.28,0.53,30.398955406552172
Apinkra,6.5383474,-1.5432803,212.0,1087.0,WorldPop_2020,village/town/hamlet,Sawia Health Center,Hospital,6.6135698,-1.5422574,8.37,0.53,59.68641202794099
Apinto Ridge Estate,5.3236956,-1.9926453,107.0,2808.0,WorldPop_2020,neighbourhood,Tarkwa Mine Hospital,Hospital,5.3213487,-1.9906534,0.34,0.53,109.43928550397597
Apirabo,6.6286731,-1.5800679,248.0,46255.0,WorldPop_2020,suburb,Kumasi South Urban Health Centre,Hospital,6.6510373,-1.5859483,2.57,0.53,51.77047496530854
Apirede,6.0353651,-0.0796294,425.0,3908.0,WorldPop_2020,village/town/hamlet,Daniel A. Tetteh ( Awokye Drug Store),Pharmacy,6.0164575,-0.0778634,2.11,0.81,44.596043199102326
Apitikoko,6.1793211,-1.7128696,186.0,2439.0,WorldPop_2020,suburb,Unnamed Hospital,Hospital,6.203002,-1.6847518,4.07,0.33,85.40203194155143
Apitiso No.2,6.1751103,-1.7366365,164.0,1932.0,WorldPop_2020,village/town/hamlet,Unnamed Hospital,Hospital,6.203002,-1.6847518,6.52,0.33,82.77490985453126
Apkormang,5.7269047,-0.2131552,81.0,7286.0,WorldPop_2020,village/town/hamlet,Edinam Medical Center,Laboratory,5.7227466,-0.2209579,0.98,0.81,58.60268494987677
Apla,6.2648993,-0.0244081,108.0,418.0,WorldPop_2020,village/town/hamlet,VRA Hospital,Hospital,6.2639983,0.0583854,9.15,0.53,32.23441218696729
Apoli North,5.9546221,-1.1489801,108.0,3446.0,WorldPop_2020,village/town/hamlet,Boys Dormitory,Clinic,5.9689484,-0.9933071,17.29,0.63,82.49160662926529
Apoli South,5.9462133,-1.1571637,110.0,3835.0,WorldPop_2020,village/town/hamlet,Boys Dormitory,Clinic,5.9689484,-0.9933071,18.3,0.63,83.65775282958089
Aponapon,6.3901287,-1.8945488,208.0,1196.0,WorldPop_2020,village/town/hamlet,Eno Serwaah pharmacy,Pharmacy,6.2901832,-1.9712874,13.98,0.92,69.21950005212156
Aponapono,6.0557074,-0.494192,250.0,856.0,WorldPop_2020,village/town/hamlet,Suhum Hospital,Hospital,6.0380137,-0.4446668,5.82,0.63,17.101418015464922
Apowa,4.8949173,-1.8175408,15.0,12015.0,WorldPop_2020,village/town/hamlet,Bridging Pharmacy,Pharmacy,4.9041657,-1.8023824,1.97,0.81,160.3728396689972
Appeakrom,6.9905766,-3.0066911,232.0,407.0,WorldPop_2020,village/town/hamlet,Nkrankwanta Government Hospital,Hospital,7.0205959,-3.0532075,6.12,0.53,106.44598625372087
Appiadu,6.6646475,-1.5256668,270.0,31697.0,WorldPop_2020,suburb,Unnamed Pharmacy,Pharmacy,6.6651728,-1.5269789,0.16,0.61,45.81282134398987
Appiadwaa,7.3166417,-1.2775898,160.0,400.0,WorldPop_2020,village/town/hamlet,kofiase health clinic,Clinic,7.1412636,-1.4834676,29.93,0.81,31.34512754659488
Appiahkrom,5.6400516,-2.4465236,69.0,255.0,WorldPop_2020,village/town/hamlet,Community Health Centre,Clinic,5.6586054,-2.3353753,12.47,0.53,60.079287038863804
Appiahkrom,5.8343709,-2.665011,104.0,290.0,WorldPop_2020,village/town/hamlet,Unnamed Clinic,Clinic,5.8341252,-2.665354,0.05,0.61,43.327337372826435
Appiakrom,6.511408,-2.0934797,194.0,516.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,10.1,0.53,56.55735160773076
Appiakurom,5.5994571,-1.2743577,140.0,885.0,WorldPop_2020,village/town/hamlet,Clinic,Clinic,5.6835098,-1.4960854,26.26,0.81,113.40170430971045
Appolonia,5.7947746,-0.0702148,50.0,1203.0,WorldPop_2020,village/town/hamlet,Lobing Pharmacy,Pharmacy,5.7501659,-0.0860068,5.26,0.81,61.38230183603375
Apra,5.5557594,-0.4846906,60.0,1424.0,WorldPop_2020,village/town/hamlet,St. Gregory Catholic Hospital,Hospital,5.5238733,-0.4753579,3.69,0.81,71.66939126082698
Aprabonso,6.4962514,-0.7669173,225.0,237.0,WorldPop_2020,village/town/hamlet,Soafa Scientific Herbal Hospital,Hospital,6.533256,-0.7505454,4.49,0.53,48.09376439126904
Apradang,6.545441,-0.865606,209.0,928.0,WorldPop_2020,village/town/hamlet,Matermity Ward,Hospital,6.5483082,-0.8663937,0.33,0.53,59.91426761124067
Aprade,6.7087206,-1.5367419,280.0,32925.0,WorldPop_2020,suburb,peace And love Hospital,Hospital,6.7061049,-1.5306523,0.73,0.81,41.73364451923545
Apragya Dafoukurom,6.4375916,-1.0172224,167.0,389.0,WorldPop_2020,village/town/hamlet,Atta & Atta Pharmacy,Pharmacy,6.4675102,-0.8914768,14.29,0.53,68.31352324491783
Aprahwen,6.6227424,-0.8557534,232.0,637.0,WorldPop_2020,village/town/hamlet,Apradang Clinic,Hospital,6.5486346,-0.8663086,8.32,0.53,64.8888124601308
Aprakukrom,7.5131594,-2.2708265,243.0,502.0,WorldPop_2020,village/town/hamlet,Buoku polyclinic,Clinic,7.4832239,-2.1730852,11.28,0.53,110.13940986162144
Apramso,5.8496466,-0.2865297,115.0,647.0,WorldPop_2020,village/town/hamlet,Ever Care Pharmacy,Pharmacy,5.8102892,-0.3351267,6.93,0.81,42.858156484801476
Apre,6.6554484,-1.6589852,243.0,32436.0,WorldPop_2020,suburb,hopeXchange Medical Center,Hospital,6.6607855,-1.6561898,0.67,0.63,53.49102400458828
Apresu,5.7773638,-0.7936912,157.0,220.0,WorldPop_2020,village/town/hamlet,Essaso CHPS compound,Clinic,5.7645167,-0.6977078,10.71,0.81,60.76649251960734
Aprianim,5.7743983,-0.7356979,145.0,297.0,WorldPop_2020,village/town/hamlet,Essaso CHPS compound,Clinic,5.7645167,-0.6977078,4.34,0.81,57.19011409994621
Apro-Kumasi,5.821465,-0.8147306,213.0,486.0,WorldPop_2020,village/town/hamlet,Essaso CHPS compound,Clinic,5.7645167,-0.6977078,14.41,0.81,58.66934024053062
Apromase,6.6693629,-1.4977267,266.0,4079.0,WorldPop_2020,village/town/hamlet,Janedor,Pharmacy,6.6651957,-1.5128103,1.73,0.81,44.361819528847015
Aprotu,6.2307969,-2.6836519,202.0,682.0,WorldPop_2020,village/town/hamlet,Kama CHPS Compound,Clinic,6.2933476,-2.7147583,7.76,0.81,22.691407505592856
Aputuogya,6.6007864,-1.5571102,258.0,5494.0,WorldPop_2020,village/town/hamlet,Sawia Health Center,Hospital,6.6135698,-1.5422574,2.17,0.53,53.64204416125295
Arabella Residency,5.5850719,-0.1767821,50.0,57288.0,WorldPop_2020,locality,MayDay Pharmacy,Pharmacy,5.5856717,-0.175929,0.12,0.82,74.53245127311315
Ardeyman,5.7175424,-0.3719687,43.0,4641.0,WorldPop_2020,village/town/hamlet,Kotoku Clinic,Clinic,5.7363698,-0.3594848,2.51,0.81,54.27765127271248
Area 2,7.3384216,-2.3214921,289.0,12330.0,WorldPop_2020,suburb,Unnamed Pharmacy,Pharmacy,7.3376557,-2.320804,0.11,0.61,108.04198346176942
Area 4,7.3325611,-2.3207814,300.0,12147.0,WorldPop_2020,suburb,Addis Medical Laboratory,Clinic,7.3330164,-2.3215114,0.1,0.81,107.78081075270806
Arigu,10.5796918,-0.8762769,173.0,2171.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,10.4730388,-0.7936904,14.9,0.61,26.943290786555323
Arko Kura,8.0963124,0.0969136,97.0,310.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,8.2019149,-0.1310091,27.7,0.33,35.11801164715582
Arkokrom,7.6466785,-2.5297526,241.0,688.0,WorldPop_2020,village/town/hamlet,Tiadene chips compound,Clinic,7.6708923,-2.4085644,13.62,0.81,142.30273521632412
Arkra,5.2083723,-0.8792885,6.0,1760.0,WorldPop_2020,village/town/hamlet,Narkwa Polyclinic,Clinic,5.2076954,-0.9392389,6.64,0.77,119.9675059214984
Arku,6.0421054,-0.988504,151.0,353.0,WorldPop_2020,village/town/hamlet,School Clinic,Clinic,5.9697837,-0.9931264,8.06,0.53,62.599036209269954
Arku Kurom,5.9293809,-0.5473141,172.0,525.0,WorldPop_2020,village/town/hamlet,Odumkyere Darmang Health Centre,Clinic,5.8688274,-0.5422364,6.76,0.63,32.23149167790687
Armakrom,5.4379009,-1.507777,101.0,641.0,WorldPop_2020,village/town/hamlet,Clinic,Clinic,5.4908372,-1.5329901,6.51,0.81,135.91333395665427
Aryee Diki,5.5878263,-0.2125382,21.0,81263.0,WorldPop_2020,neighbourhood,Franeva,Pharmacy,5.5850293,-0.2128638,0.31,0.81,72.75297081579471
Asaafa,5.20574,-0.9874894,11.0,2151.0,WorldPop_2020,village/town/hamlet,Narkwa polyclnic,Clinic,5.2075364,-0.9394521,5.32,0.63,125.49873178103775
Asaago,6.6137289,-1.6012815,229.0,23239.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.6380621,-1.6212716,3.49,0.61,54.26727755272453
Asaam,7.1195283,-1.4657222,374.0,1694.0,WorldPop_2020,village/town/hamlet,kofiase health clinic,Clinic,7.1412636,-1.4834676,3.11,0.81,11.413268505748562
Asaase,5.9852728,-1.2551451,111.0,775.0,WorldPop_2020,village/town/hamlet,Boys Dormitory,Clinic,5.9689484,-0.9933071,29.01,0.63,92.71780723482092
Asaaseboma,6.7451712,-0.3616932,86.0,978.0,WorldPop_2020,village/town/hamlet,Asaaseboma CHPs Compound,Health_Post,6.7453453,-0.3607664,0.1,0.67,60.714915292847564
Asaasehene,6.3690596,-0.1485676,321.0,614.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,3.64,0.95,36.85954891194436
Asabeaso,6.7762985,-0.7273413,116.0,306.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,15.38,0.83,70.64579131447479
Asabedie,6.0374934,-1.2106935,119.0,2334.0,WorldPop_2020,village/town/hamlet,School Clinic,Clinic,5.9697837,-0.9931264,25.21,0.53,86.57092181548785
Asabi,6.7170979,-1.571458,268.0,46985.0,WorldPop_2020,suburb,Garden City Hospital,Hospital,6.7114132,-1.56792,0.74,0.53,42.59916934090656
Asabirkwaa,5.6832785,-0.6296298,80.0,2150.0,WorldPop_2020,village/town/hamlet,Agnes Doris Pharmacy,Pharmacy,5.6388504,-0.7247921,11.63,0.81,60.9258211527831
Asabre Kwaa,5.6792216,-0.6374833,104.0,455.0,WorldPop_2020,isolated_dwelling,Agnes Doris Pharmacy,Pharmacy,5.6388504,-0.7247921,10.65,0.81,61.64234477531571
Asafo,5.5522469,-0.6588127,49.0,7466.0,WorldPop_2020,village/town/hamlet,Governmental Hospital,Hospital,5.5357761,-0.6922845,4.13,0.53,75.68615050348066
Asafo,6.1431176,-0.154738,129.0,308.0,WorldPop_2020,village/town/hamlet,EverCare Pharmacy,Pharmacy,6.1284523,-0.2123742,6.58,0.81,32.92458175591797
Asafo,6.1768618,-0.4696322,218.0,7856.0,WorldPop_2020,village/town/hamlet,Maryland Clinic,Clinic,6.18275,-0.472341,0.72,0.81,3.8587658223412964
Asafo,6.689271,-1.6095668,277.0,98777.0,WorldPop_2020,suburb,Dipsy Pharmacy,Pharmacy,6.6897665,-1.6092094,0.07,0.81,47.378423857709066
Asafoakye,8.1591064,-0.1012542,136.0,381.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,8.2019149,-0.1310091,5.78,0.33,41.10732752815687
Asafoakyɛ,5.7902467,-2.6924786,81.0,237.0,WorldPop_2020,village/town/hamlet,Achimfo Chips,Clinic,5.7842722,-2.7227839,3.42,0.81,49.06190298162937
Asafoatse,5.982101,-0.4019183,115.0,317.0,WorldPop_2020,isolated_dwelling,Suhum Hospital,Hospital,6.0380137,-0.4446668,7.81,0.63,24.882916878323883
Asafoatse Kura,5.9875149,-0.9068093,126.0,458.0,WorldPop_2020,village/town/hamlet,School Clinic,Clinic,5.9697837,-0.9931264,9.75,0.53,56.266653984201405
Asafora,5.1862249,-1.1719659,27.0,1171.0,WorldPop_2020,village/town/hamlet,Biriwa Polyclinic,Clinic,5.1620283,-1.161675,2.92,0.53,138.19798350057877
Asain,6.4320425,-0.0394875,90.0,393.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,12.31,0.95,23.199255303031784
Asakoko,7.1416991,-1.9503884,326.0,377.0,WorldPop_2020,isolated_dwelling,Mansion chips compound,Clinic,7.1176474,-1.9861942,4.77,0.81,63.145049197094956
Asamaasa,5.101333,-1.5900277,24.0,2049.0,WorldPop_2020,village/town/hamlet,Daboase Clinic,Clinic,5.1338409,-1.6561212,8.16,0.53,155.24410168076892
Asaman,5.8515654,-1.8004249,188.0,381.0,WorldPop_2020,village/town/hamlet,Denyase CHPS Compound,Clinic,5.8540204,-1.801722,0.31,0.81,84.08886587462756
Asamang,6.7676435,-1.6936487,243.0,7157.0,WorldPop_2020,village/town/hamlet,Divine Healthcare Hospital,Hospital,6.7568061,-1.651579,4.8,0.53,46.54191420223609
Asamang,7.0704444,-2.4903192,273.0,435.0,WorldPop_2020,village/town/hamlet,Atronie Health Center,Clinic,7.1593665,-2.404393,13.7,0.53,98.25435919397174
Asamang Tamfoe,6.3678519,-0.528368,204.0,5081.0,WorldPop_2020,village/town/hamlet,CHPS Compound,Hospital,6.3696878,-0.5306782,0.33,0.53,20.401816773605447
Asamankese,5.4909035,-1.1590791,113.0,7162.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,5.4282328,-0.958741,23.24,0.61,111.48350885234383
Asamankese,5.8610103,-0.657934,124.0,46061.0,GeoNames/OSM,village/town/hamlet,Asamankese Government Hospital,Hospital,5.8539806,-0.6786598,2.42,0.53,44.466371560970885
Asamanya,6.7910392,-1.5810536,297.0,2212.0,WorldPop_2020,village/town/hamlet,GeoRuth Pharmacy,Pharmacy,6.7843228,-1.5746085,1.03,0.81,36.276253810128054
Asamkrom,5.4895933,-0.6874069,41.0,2943.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,5.4943964,-0.6895469,0.58,0.61,83.26076949600767
Asamoah Akura,6.5078655,-2.9429885,177.0,391.0,WorldPop_2020,village/town/hamlet,CHPS Compound,Clinic,6.4507913,-2.9733155,7.18,0.81,62.2252829606476
Asamoahkrom,7.2225213,-2.6510838,263.0,446.0,WorldPop_2020,village/town/hamlet,Mw,Clinic,7.2206418,-2.6417699,1.05,0.81,116.53529325605527
Asamoakrom,5.6434763,-1.5328227,65.0,533.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.6176515,-1.5359549,2.89,0.92,121.04346746895006
Asamoakwa,5.582422,-0.6177409,64.0,1173.0,WorldPop_2020,village/town/hamlet,Governmental Hospital,Hospital,5.5357761,-0.6922845,9.74,0.53,71.17565913718994
Asamponkrom,6.0343,-2.5532542,132.0,409.0,WorldPop_2020,village/town/hamlet,Unnamed Clinic,Clinic,5.8341252,-2.665354,25.48,0.61,18.019683673786567
Asampu,7.8431776,-1.9304982,444.0,390.0,WorldPop_2020,village/town/hamlet,Anoma Health Center,Hospital,7.7836552,-1.8712659,9.29,0.53,105.95713395863046
Asankare,6.602081,-1.046437,220.0,3581.0,WorldPop_2020,village/town/hamlet,Unnamed Hospital,Hospital,6.6208128,-1.203852,17.51,0.33,62.51337845683302
Asankra Breman,5.8536348,-2.4535099,88.0,1272.0,WorldPop_2020,village/town/hamlet,George Dadzie,Pharmacy,5.8095379,-2.435719,5.28,0.81,36.474472983127995
Asankrangwa,5.808673,-2.435268,102.0,5390.0,WorldPop_2020,village/town/hamlet,George Dadzie,Pharmacy,5.8095379,-2.435719,0.11,0.81,41.643149881761005
Asano,5.4392173,-1.2013373,114.0,373.0,WorldPop_2020,village/town/hamlet,Hayford Dorothy,Pharmacy,5.2450265,-1.2480883,22.2,0.67,118.83811501164381
Asanso,6.4707002,-1.5791264,216.0,4448.0,WorldPop_2020,village/town/hamlet,Bekwai Municipal Hospital,Hospital,6.4560047,-1.5789526,1.63,0.63,68.0181609006097
Asanta,4.9119895,-2.2876376,9.0,2052.0,WorldPop_2020,village/town/hamlet,Axim Governmenr Hospital,Hospital,4.8667635,-2.2378492,7.46,0.53,142.1274536922642
Asante Asamang,6.9035298,-1.4359014,325.0,8649.0,WorldPop_2020,village/town/hamlet,Esthmark Pharmacy,Pharmacy,6.8462455,-1.4071821,7.12,0.67,17.600304381465868
Asante Camp,6.6197637,-2.543217,237.0,628.0,WorldPop_2020,village/town/hamlet,Akrodie Health Centre,Hospital,6.6950068,-2.5569091,8.5,0.53,48.84531136206142
Asante Camp No.1,6.6176219,-2.5434308,231.0,594.0,WorldPop_2020,village/town/hamlet,Akrodie Health Centre,Hospital,6.6950068,-2.5569091,8.73,0.53,48.613734077355396
Asantekrom,5.7747214,-2.621244,71.0,257.0,WorldPop_2020,village/town/hamlet,Yonkofa Health Center,Clinic,5.7764802,-2.661228,4.43,0.81,47.51600920422495
Asantekrom,6.0568113,-2.5722792,162.0,963.0,WorldPop_2020,village/town/hamlet,Unnamed Clinic,Clinic,5.8341252,-2.665354,26.82,0.61,16.913536200122348
Asantekrom,7.6840365,-2.5967002,240.0,1052.0,WorldPop_2020,village/town/hamlet,Dawiri CHPS Compound,Clinic,7.8268181,-2.682561,18.48,0.81,150.76174754819212
Asantekwa,8.0774138,-1.8262887,204.0,942.0,WorldPop_2020,village/town/hamlet,Asantekwaa CHPS compound,Health_Post,8.0771766,-1.8268874,0.07,0.53,123.1423729967803
Asanteman,5.8607894,-0.8539029,169.0,2440.0,WorldPop_2020,village/town/hamlet,Achiase Health Centre,Hospital,5.8447952,-1.0011211,16.38,0.63,58.88016411972717
Asanteman Council,6.9451868,-2.7446909,231.0,809.0,WorldPop_2020,village/town/hamlet,Ahmadiyya,Clinic,6.8940491,-2.5651706,20.62,0.53,89.17048548659267
Asantemanso,5.9259415,-2.9447669,108.0,165.0,WorldPop_2020,village/town/hamlet,Enchi Government Hospital,Hospital,5.8305012,-2.8213004,17.3,0.53,58.29252442790269
Asanyansu,7.0381235,-0.5201648,173.0,2271.0,WorldPop_2020,village/town/hamlet,Asanyansu Clinic,Clinic,7.0386905,-0.5199449,0.07,0.63,92.750034462516
Asar Kweku,5.604609,-1.5048493,105.0,220.0,GeoNames/OSM,village/town/hamlet,Drug Store,Pharmacy,5.6085744,-1.5371472,3.6,0.92,125.87757626323767
Asare,7.7646428,-2.7678697,274.0,1225.0,WorldPop_2020,village/town/hamlet,Bodaa chips compound,Clinic,7.7813696,-2.8200144,6.04,0.81,171.63023014399627
Asare,10.0068362,0.2749532,172.0,330.0,WorldPop_2020,village/town/hamlet,Chereponi Hospital,Hospital,10.1306476,0.2866376,13.83,0.53,124.02119723023424
Asare Nkwanta No.1,7.1789598,-1.2698892,134.0,383.0,WorldPop_2020,village/town/hamlet,Mampong Government Hospital,Hospital,7.0423793,-1.406451,21.39,0.53,18.77650117298134
Asare Nkwanta No.2,7.1764157,-1.2724292,137.0,383.0,WorldPop_2020,village/town/hamlet,Mampong Government Hospital,Hospital,7.0423793,-1.406451,21.0,0.53,18.379433625518836
Asarekrom,5.9755,-1.437538,119.0,253.0,WorldPop_2020,village/town/hamlet,Clinic,Clinic,5.6835098,-1.4960854,33.11,0.81,112.57628344002244
Asarekrom,6.4995555,-1.8075793,196.0,1038.0,WorldPop_2020,village/town/hamlet,Frimpong Boateng Medical Center,Hospital,6.6615016,-1.8205251,18.06,0.81,77.09419671165976
Asarekurom,5.9601622,-0.2899092,70.0,1935.0,WorldPop_2020,village/town/hamlet,Adweso Clinic,Hospital,6.0634948,-0.253995,12.16,0.63,31.917290190266765
Asarekurom,6.5768696,-2.6393382,224.0,743.0,WorldPop_2020,village/town/hamlet,Asarekrom CHPS,Clinic,6.5762288,-2.6390223,0.08,0.81,46.907698841562166
Asarekurom,7.1423764,-1.955203,314.0,505.0,WorldPop_2020,isolated_dwelling,Mansion chips compound,Clinic,7.1176474,-1.9861942,4.39,0.81,63.68208239496598
Asasefitaa,6.5283803,-0.9254456,221.0,443.0,WorldPop_2020,village/town/hamlet,Bramkurom CHPS Compound,Clinic,6.515554,-0.8907326,4.09,0.82,64.09810988467314
Asasekorkor,5.995179,-0.1638259,184.0,1091.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,8.89,0.53,38.77705164397023
Asasetre,5.0269251,-2.351225,15.0,284.0,WorldPop_2020,village/town/hamlet,Kamgbunli Clinic,Clinic,4.9771869,-2.415183,8.99,0.81,128.58441809207403
Asatu,7.5359713,0.4390241,217.0,1672.0,WorldPop_2020,village/town/hamlet,Asato Community Centre,Other,7.5395086,0.4394107,0.4,0.47,57.6380660739965
Asawase,6.7049105,-1.6042723,260.0,95220.0,WorldPop_2020,suburb,Al-Adil Pharmacy,Pharmacy,6.70305,-1.5991518,0.6,0.81,45.59966745020948
Asawinso,6.4243281,-2.7090683,205.0,12210.0,WorldPop_2020,village/town/hamlet,Kama CHPS Compound,Clinic,6.2933476,-2.7147583,14.58,0.81,36.546093805234236
Asebi,5.9050665,-0.0118617,37.0,560.0,WorldPop_2020,village/town/hamlet,St. Andrew Catholic Hospital,Hospital,5.9244617,0.0176784,3.91,0.81,58.26893065786578
Asebu,5.2151968,-1.2092397,64.0,7039.0,WorldPop_2020,village/town/hamlet,Hayford Dorothy,Pharmacy,5.2450265,-1.2480883,5.43,0.67,138.0915253294491
