Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km,Is_Rural,Hub_ID,Distance_Hub_km,Hub_Latitude,Hub_Longitude,Covered
Abasi,6.8952482,-1.2357162,365.0,2021.0,WorldPop_2020,village/town/hamlet,Bodomase Clinic,Hospital,6.8898446,-1.2519242,1.89,0.92,24.168548478408088,True,8,42.87,6.714017028571429,-1.578396487755102,True
Abasua,6.7236772,-1.9357887,180.0,669.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.6599097,-1.8423071,12.52,0.61,70.97464446082279,True,8,39.48,6.714017028571429,-1.578396487755102,True
Abawdikro,7.609216,-1.9605753,391.0,6059.0,WorldPop_2020,suburb,Holy Family Hospital - Techiman,Hospital,7.5920208,-1.9396317,3.0,0.53,88.2912767518742,False,1,12.67,7.707216,-1.9018804730769232,True
Abeadze Dominase,5.3498444,-1.088851,63.0,3094.0,WorldPop_2020,village/town/hamlet,Stanford Health,Hospital,5.2651828,-1.0203137,12.09,0.81,118.15817628072108,True,2,52.99,5.250318833333333,-1.5568655866666665,True
Abease,7.9585737,-1.1802827,138.0,4572.0,WorldPop_2020,village/town/hamlet,Kumfia Healthcare,Clinic,7.7794723,-1.2247689,20.51,0.81,102.51785444376551,True,1,84.26,7.707216,-1.9018804730769232,False
Abebresekrom,6.7698888,-2.5347331,189.0,407.0,WorldPop_2020,isolated_dwelling,Cross Care Clinic,Clinic,6.7913022,-2.5173483,3.06,0.53,65.25069999038867,True,12,22.12,6.964500993939394,-2.4931057818181817,True
Abedwum,6.3009396,-1.6586888,216.0,1512.0,WorldPop_2020,village/town/hamlet,D. B. Twumasi Chemicals OTC Medicine,Pharmacy,6.2132762,-1.6884994,10.29,0.81,88.64112592918707,True,8,46.78,6.714017028571429,-1.578396487755102,True
Abeka,5.5999841,-0.2418328,39.0,82810.0,WorldPop_2020,suburb,Nesta,Pharmacy,5.6028609,-0.2419394,0.32,0.82,70.38897778585783,False,7,4.35,5.636796764853556,-0.2551691866108785,True
Abekope,5.7690723,0.0383914,26.0,3050.0,WorldPop_2020,suburb,Voek Pharmacy,Pharmacy,5.7617984,0.0519873,1.71,0.81,71.9588366274147,False,7,35.66,5.636796764853556,-0.2551691866108785,True
Abekwai,7.8463971,-2.1670998,188.0,234.0,WorldPop_2020,village/town/hamlet,Methodist Hospital Wenchi,Hospital,7.7380768,-2.1113099,13.52,0.53,122.93756197899782,True,1,33.07,7.707216,-1.9018804730769232,True
Abelenkpe,5.6080036,-0.2173342,28.0,69992.0,WorldPop_2020,suburb,Citadel Clinic,Doctor,5.6041598,-0.218911,0.46,0.81,70.47913639368649,False,7,5.27,5.636796764853556,-0.2551691866108785,True
Aben,5.4564074,-1.1914212,93.0,378.0,WorldPop_2020,village/town/hamlet,Hayford Dorothy,Pharmacy,5.2450265,-1.2480883,24.33,0.67,116.71518354791942,True,2,46.5,5.250318833333333,-1.5568655866666665,True
Abena Akokrom,7.0314271,-2.5175493,243.0,488.0,WorldPop_2020,village/town/hamlet,Apenamadi chips compound,Clinic,6.9264342,-2.4563998,13.49,0.81,94.00835804834604,True,12,7.92,6.964500993939394,-2.4931057818181817,True
Abenaboma,6.7194899,-0.5384159,87.0,383.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,15.99,0.83,58.05413500190141,True,13,45.53,6.314441660273973,-0.4781223835616439,True
Abenase,6.007133,-1.0354262,136.0,7731.0,WorldPop_2020,village/town/hamlet,School Clinic,Clinic,5.9697837,-0.9931264,6.26,0.53,68.71497426217745,True,13,70.45,6.314441660273973,-0.4781223835616439,True
Abenase,6.5679025,-0.7789242,230.0,7547.0,WorldPop_2020,village/town/hamlet,Roman Catholic Hospital,Hospital,6.5466382,-0.7733547,2.44,0.53,54.64535857025372,True,13,43.58,6.314441660273973,-0.4781223835616439,True
Abenase,6.6864131,-1.4388088,259.0,3716.0,WorldPop_2020,village/town/hamlet,Roseth community eye care,Hospital,6.7176919,-1.4656783,4.57,0.82,41.13098920399697,True,8,15.72,6.714017028571429,-1.578396487755102,True
Abenaso,6.2175255,-0.7431893,169.0,1588.0,WorldPop_2020,village/town/hamlet,Abomosu Clinic,Hospital,6.3001218,-0.7342024,9.24,0.81,32.9088460271176,True,13,31.22,6.314441660273973,-0.4781223835616439,True
Abenawia,6.0089871,-0.1419613,175.0,709.0,WorldPop_2020,village/town/hamlet,Daniel A. Tetteh ( Awokye Drug Store),Pharmacy,6.0164575,-0.0778634,7.14,0.81,39.912842209083,True,7,43.24,5.636796764853556,-0.2551691866108785,True
Abenayo,5.8746635,-0.5464304,173.0,793.0,WorldPop_2020,village/town/hamlet,Odumkyere Darmang Health Centre,Clinic,5.8688274,-0.5422364,0.8,0.63,37.93550344473631,True,7,41.69,5.636796764853556,-0.2551691866108785,True
Abene,6.7026898,-0.785397,173.0,807.0,WorldPop_2020,village/town/hamlet,Nat Herbal Clinic,Clinic,6.6342427,-0.7403711,9.09,0.92,66.82201176480423,True,13,54.92,6.314441660273973,-0.4781223835616439,True
Abenoa,7.0971715,-0.9365834,140.0,491.0,WorldPop_2020,village/town/hamlet,Agogo Presbyterian hospital,Hospital,6.7965698,-1.0855078,37.25,0.81,49.81909680467727,True,8,82.67,6.714017028571429,-1.578396487755102,False
Abepotia,6.5417855,-0.7910828,221.0,4664.0,WorldPop_2020,village/town/hamlet,Roman Catholic Hospital,Hospital,6.5466382,-0.7733547,2.03,0.53,53.49837705790825,True,13,42.84,6.314441660273973,-0.4781223835616439,True
Aberenkwo Junction,8.3119085,0.4817759,202.0,525.0,WorldPop_2020,village/town/hamlet,Medical Village Mortuary,Hospital,8.2595616,0.5110961,6.66,0.53,78.72426493073846,True,10,30.42,8.31955012745098,0.20536231960784324,True
Aberenwanko Ananfo,6.1251563,-0.184131,167.0,674.0,WorldPop_2020,village/town/hamlet,EverCare Pharmacy,Pharmacy,6.1284523,-0.2123742,3.14,0.81,30.246907482428227,True,13,38.72,6.314441660273973,-0.4781223835616439,True
Aberfor,5.5910817,-0.5485057,97.0,853.0,WorldPop_2020,village/town/hamlet,Ayiresu Chip Compound,Hospital,5.6211389,-0.5218935,4.45,0.63,68.57860820461147,True,7,32.86,5.636796764853556,-0.2551691866108785,True
Abertima,6.1294704,-0.1132642,149.0,388.0,WorldPop_2020,village/town/hamlet,Okra Kwadwo Health Centre,Clinic,6.1089919,-0.1057473,2.42,0.63,37.7286191484446,True,13,45.27,6.314441660273973,-0.4781223835616439,True
Abesem,6.2235211,-0.6255515,229.0,778.0,WorldPop_2020,village/town/hamlet,Kibi Government Hospital,Hospital,6.1670503,-0.5552595,9.99,0.53,19.98193034708381,True,13,19.18,6.314441660273973,-0.4781223835616439,True
Abesewa,6.4236146,-1.5556316,214.0,1744.0,WorldPop_2020,village/town/hamlet,Ahwenie Memorial Hospital,Hospital,6.4549977,-1.5704577,3.86,0.53,72.2601980956135,True,8,32.39,6.714017028571429,-1.578396487755102,True
Abesewa,7.0429425,-2.0223312,284.0,1641.0,WorldPop_2020,village/town/hamlet,Bechem Government Hospital,Hospital,7.0875431,-2.0304926,5.04,0.53,70.37108618503636,True,12,52.68,6.964500993939394,-2.4931057818181817,True
Abesewase,6.773378,-1.3831642,289.0,523.0,WorldPop_2020,village/town/hamlet,SICK,Hospital,6.8126582,-1.4265516,6.48,0.53,31.090457622976192,True,8,22.55,6.714017028571429,-1.578396487755102,True
Abesey,5.7145239,-0.2718151,47.0,5411.0,WorldPop_2020,village/town/hamlet,MEDIMAFO Herbal Hope,Hospital,5.7180502,-0.2824956,1.25,0.81,57.33452170930702,True,7,8.84,5.636796764853556,-0.2551691866108785,True
Abesim,6.6608645,-2.4917024,197.0,507.0,WorldPop_2020,isolated_dwelling,Goemat Pharmacy,Pharmacy,6.6927098,-2.4422716,6.51,0.81,52.96274333252263,True,12,33.76,6.964500993939394,-2.4931057818181817,True
Abesim,7.287233,-2.2693527,277.0,3962.0,WorldPop_2020,suburb,THOMAS AND THOMAS,Clinic,7.3023932,-2.2951265,3.3,0.53,100.96133678784476,False,12,43.56,6.964500993939394,-2.4931057818181817,True
Abesim-Nkran No.1,7.2727448,-2.3123015,242.0,1194.0,WorldPop_2020,village/town/hamlet,THOMAS AND THOMAS,Clinic,7.3023932,-2.2951265,3.8,0.53,105.17777308821395,True,12,39.66,6.964500993939394,-2.4931057818181817,True
Abesle,6.4262587,-0.2231893,355.0,732.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,8.89,0.95,34.93013903097006,True,13,30.79,6.314441660273973,-0.4781223835616439,True
Abesre,6.4149634,-0.2164231,353.0,695.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,7.85,0.95,34.603954785544005,True,13,31.01,6.314441660273973,-0.4781223835616439,True
Abetema,5.8605062,-0.2737087,80.0,408.0,WorldPop_2020,village/town/hamlet,Ever Care Pharmacy,Pharmacy,5.8102892,-0.3351267,8.79,0.81,42.38722851441651,True,7,24.96,5.636796764853556,-0.2551691866108785,True
Abetenim,6.7961873,-1.3837553,308.0,376.0,WorldPop_2020,village/town/hamlet,SICK,Hospital,6.8126582,-1.4265516,5.07,0.53,28.567561270145426,True,8,23.35,6.714017028571429,-1.578396487755102,True
Abetifi,6.672433,-0.743845,600.0,5631.0,WorldPop_2020,village/town/hamlet,Nat Herbal Clinic,Clinic,6.6342427,-0.7403711,4.26,0.92,61.50293176769205,True,13,49.46,6.314441660273973,-0.4781223835616439,True
Abetima,6.3066075,-0.1077068,221.0,412.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,11.42,0.95,36.030850426969785,True,13,40.95,6.314441660273973,-0.4781223835616439,True
Abeyee,5.1438159,-1.4792578,45.0,1490.0,WorldPop_2020,village/town/hamlet,Kissi Health Centre,Hospital,5.0871197,-1.5060483,6.97,0.68,159.94259373878123,True,2,14.63,5.250318833333333,-1.5568655866666665,True
Abi,7.4696208,-2.6380881,342.0,447.0,WorldPop_2020,village/town/hamlet,Dr. Larbi Clinic,Hospital,7.4438905,-2.5935659,5.68,0.63,143.406392642679,True,12,58.4,6.964500993939394,-2.4931057818181817,True
Abiadi Eshiem,5.4287555,-0.8718567,34.0,1191.0,WorldPop_2020,village/town/hamlet,GHS,Clinic,5.3833164,-0.9250126,7.76,0.92,97.71112805958468,True,7,72.07,5.636796764853556,-0.2551691866108785,True
Abidjan,6.9441491,-2.7859784,231.0,666.0,WorldPop_2020,village/town/hamlet,Ahmadiyya,Clinic,6.8940491,-2.5651706,25.0,0.53,90.6402530520376,True,12,32.41,6.964500993939394,-2.4931057818181817,True
Abira,6.7715525,-1.4937285,303.0,1370.0,WorldPop_2020,village/town/hamlet,George & Angelina,Clinic,6.7433264,-1.458069,5.04,0.81,33.49935874806998,True,8,11.33,6.714017028571429,-1.578396487755102,True
Abiram,6.3852945,-1.9719586,185.0,1249.0,WorldPop_2020,village/town/hamlet,Eno Serwaah pharmacy,Pharmacy,6.2901832,-1.9712874,10.58,0.92,61.00868713229372,True,8,56.8,6.714017028571429,-1.578396487755102,True
Abirem,6.3016964,-1.0066223,145.0,2558.0,WorldPop_2020,village/town/hamlet,Tiawiah CHPS Compound,Clinic,6.4138806,-0.8676785,19.78,0.91,62.97619202915949,True,13,58.43,6.314441660273973,-0.4781223835616439,True
Abirem,6.7450111,-1.5511494,294.0,3376.0,WorldPop_2020,village/town/hamlet,Garden City Hospital,Hospital,6.7114132,-1.56792,4.17,0.53,38.81506713183494,True,8,4.58,6.714017028571429,-1.578396487755102,True
Abirikasu,7.4912913,-2.8333578,269.0,2200.0,WorldPop_2020,village/town/hamlet,Nkyenkyemam CHPS Compound,Clinic,7.4817648,-2.7851598,5.42,0.81,149.84095449573684,True,12,69.57,6.964500993939394,-2.4931057818181817,True
Abiriw,5.9795454,-0.0891667,467.0,11096.0,GeoNames/OSM,village/town/hamlet,Daniel A. Tetteh ( Awokye Drug Store),Pharmacy,6.0164575,-0.0778634,4.29,0.81,46.59374838070565,True,7,42.31,5.636796764853556,-0.2551691866108785,True
Abisu,6.6532504,-0.5436516,253.0,259.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,13.54,0.83,50.97847670917564,True,13,38.36,6.314441660273973,-0.4781223835616439,True
Abisu,7.539309,-2.3917928,256.0,821.0,Imputed,village/town/hamlet,Dagadu CHPS Compound,Health_Post,7.6114215,-2.3864246,8.04,0.53,123.37742136924192,True,1,57.13,7.707216,-1.9018804730769232,True
Abisu No.1,6.6256624,-0.5685934,342.0,288.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,11.17,0.83,48.6949444625602,True,13,36.02,6.314441660273973,-0.4781223835616439,True
Abisu No.2,6.6202166,-0.5598199,312.0,235.0,WorldPop_2020,village/town/hamlet,st joseph's clinic an maternity home,Clinic,6.6519796,-0.6662393,12.27,0.83,47.85269996850238,True,13,35.18,6.314441660273973,-0.4781223835616439,True
Abladjei,5.7100153,-0.2057269,60.0,8809.0,WorldPop_2020,suburb,Medcare Plus Clinic,Clinic,5.7130107,-0.2057906,0.33,0.81,60.64198357298935,False,7,9.81,5.636796764853556,-0.2551691866108785,True
Ablekuma,5.6279342,-0.3135003,41.0,10542.0,WorldPop_2020,village/town/hamlet,Novomed,Pharmacy,5.6227053,-0.3018546,1.41,0.82,65.23743268030526,True,7,6.53,5.636796764853556,-0.2551691866108785,True
Ablekuma Newtown,5.6373022,-0.3137724,35.0,9749.0,WorldPop_2020,suburb,ODUMAN POLYCLINIC,Hospital,5.6421114,-0.3306611,1.94,0.53,64.22160252286788,False,7,6.49,5.636796764853556,-0.2551691866108785,True
Ablornu,6.3497457,0.6375725,50.0,515.0,WorldPop_2020,village/town/hamlet,Adaklu Ablornu CHPs Compound,CHPS,6.3488205,0.6367137,0.14,0.67,54.749726323519,True,4,21.41,6.159094553846154,0.6649345371794871,True
Aboabo,5.6557442,-1.6210359,97.0,1288.0,WorldPop_2020,village/town/hamlet,Mmaa Baasa CHPS Compound,Clinic,5.6520981,-1.5721956,5.42,0.92,111.92991309514431,True,2,45.64,5.250318833333333,-1.5568655866666665,True
Aboabo,5.9337346,-0.9513381,137.0,9792.0,WorldPop_2020,village/town/hamlet,Oda Government Hospital,Hospital,5.9284588,-0.9857572,3.85,0.53,63.33721623185805,True,13,67.3,6.314441660273973,-0.4781223835616439,True
Aboabo,6.1185735,-0.2350455,209.0,4522.0,WorldPop_2020,village/town/hamlet,Aboabo Drug Store,Pharmacy,6.1177538,-0.2347289,0.1,0.81,25.15440366931297,True,13,34.59,6.314441660273973,-0.4781223835616439,True
Aboabo,6.2097883,-1.3608106,173.0,949.0,WorldPop_2020,village/town/hamlet,SDA Hospital,Hospital,6.19789,-1.63915,30.8,0.81,93.4557991076616,True,8,61.0,6.714017028571429,-1.578396487755102,True
Aboabo,6.3667325,-1.6698575,188.0,674.0,WorldPop_2020,village/town/hamlet,Bekwai Matenity,Hospital,6.4551686,-1.5786467,14.08,0.63,82.30129328395581,True,8,39.92,6.714017028571429,-1.578396487755102,True
Aboabo,6.4467378,-2.3559167,265.0,376.0,WorldPop_2020,village/town/hamlet,Bibiani Government Hospital,Hospital,6.4564802,-2.3230746,3.79,0.63,32.55074840522468,True,12,59.53,6.964500993939394,-2.4931057818181817,True
Aboabo,6.5862346,-0.4380128,445.0,262.0,WorldPop_2020,village/town/hamlet,Asaaseboma CHPs Compound,Health_Post,6.7453453,-0.3607664,19.64,0.67,42.424015191820935,True,13,30.55,6.314441660273973,-0.4781223835616439,True
Aboabo,6.6989717,-1.5978764,271.0,90485.0,WorldPop_2020,suburb,Nako,Pharmacy,6.7003567,-1.5949466,0.36,0.81,45.79154729107732,False,8,2.73,6.714017028571429,-1.578396487755102,True
Aboabo Camp,5.5684236,-1.3855607,129.0,352.0,WorldPop_2020,village/town/hamlet,Drug Store,Pharmacy,5.6085744,-1.5371472,17.36,0.92,125.4602995183588,True,2,40.13,5.250318833333333,-1.5568655866666665,True
Aboabo No.1,5.9372674,-0.2361631,96.0,997.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,11.61,0.53,37.44628521536019,True,7,33.48,5.636796764853556,-0.2551691866108785,True
Aboabo No.2,5.9370647,-0.2412701,91.0,994.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,12.17,0.53,37.115644291316926,True,7,33.42,5.636796764853556,-0.2551691866108785,True
Aboabo No.2,6.2217537,-1.3549957,182.0,2111.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,30.29,0.53,92.15444424460212,True,8,60.05,6.714017028571429,-1.578396487755102,True
Aboabo No.2,7.2090449,-2.8078846,298.0,4261.0,WorldPop_2020,village/town/hamlet,Mw,Clinic,7.2206418,-2.6417699,18.37,0.81,119.07507146245688,True,12,44.11,6.964500993939394,-2.4931057818181817,True
Aboabo No.4,7.1976708,-2.8072959,281.0,3493.0,WorldPop_2020,village/town/hamlet,Mw,Clinic,7.2206418,-2.6417699,18.44,0.81,117.85624246665064,True,12,43.29,6.964500993939394,-2.4931057818181817,True
