Village,Latitude,Longitude,Elevation_m,Population,Population_Source,Place_Type,Nearest_Facility_Name,Nearest_Facility_Type,Nearest_Facility_Latitude,Nearest_Facility_Longitude,Distance_Nearest_Facility_km,Nearest_Facility_Confidence,Dist_Zipline_km,Is_Rural,Hub_ID,Distance_Hub_km,Hub_Latitude,Hub_Longitude,Covered
Adobease,5.9385987,-0.1698187,170.0,1286.0,WorldPop_2020,village/town/hamlet,Tetteh Quarshie Hospital,Hospital,5.9216374,-0.1323741,4.55,0.53,42.29731276883664,True,7,34.86,5.636796764853556,-0.2551691866108785,True
Adobetor,5.5722898,-0.1600984,39.0,67826.0,WorldPop_2020,suburb,PalmAid Pharmacy,Pharmacy,5.5735786,-0.1592984,0.17,0.81,76.5757222071421,False,7,12.73,5.636796764853556,-0.2551691866108785,True
Adobewora,6.5419659,-2.0133425,186.0,1865.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,12.5,0.53,65.58965225713486,True,8,51.71,6.714017028571429,-1.578396487755102,True
Adodoadjikope,5.97182,0.4744935,16.0,855.0,WorldPop_2020,village/town/hamlet,Kpotame Health Centre,Health_Post,5.9766659,0.5257036,5.69,0.67,66.76003108922733,True,4,29.62,6.159094553846154,0.6649345371794871,True
Adoe,7.4583691,-2.3582236,278.0,57.0,WorldPop_2020,village/town/hamlet,Medcourt Pharmacy,Pharmacy,7.3604253,-2.3472325,10.96,0.82,116.3368974184754,True,12,56.9,6.964500993939394,-2.4931057818181817,True
Adoe,7.6222147,-1.7538267,350.0,585.0,WorldPop_2020,village/town/hamlet,St. Theresia Hospital,Hospital,7.570285,-1.7040502,7.97,0.53,74.80538642614141,True,1,18.86,7.707216,-1.9018804730769232,True
Adoklu Kpetsu,6.426572,0.5135287,57.0,302.0,WorldPop_2020,village/town/hamlet,Kpetsu Chps Compound,Health_Post,6.4264214,0.5145353,0.11,0.67,39.42937303908528,True,4,34.13,6.159094553846154,0.6649345371794871,True
Adokurom,6.3212675,-0.4212597,236.0,236.0,WorldPop_2020,village/town/hamlet,Rabitto Pharmacy,Pharmacy,6.2913819,-0.4743928,6.75,0.81,13.399390406249603,True,13,6.33,6.314441660273973,-0.4781223835616439,True
Adokurom,6.4902978,-0.8624482,221.0,381.0,WorldPop_2020,village/town/hamlet,Pankese Community Health Planning and Services,Hospital,6.5081592,-0.8438128,2.86,0.53,55.96922766389738,True,13,46.75,6.314441660273973,-0.4781223835616439,True
Adokurom,6.5748384,-2.5887193,254.0,448.0,WorldPop_2020,village/town/hamlet,Asarekrom CHPS,Clinic,6.5762288,-2.6390223,5.56,0.81,44.94729719863048,True,12,44.6,6.964500993939394,-2.4931057818181817,True
Adokwae,6.3602037,-1.5000041,255.0,1358.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,12.37,0.53,77.81851300001989,True,8,40.28,6.714017028571429,-1.578396487755102,True
Adom,5.6206732,-0.625298,59.0,967.0,WorldPop_2020,village/town/hamlet,Agnes Doris Pharmacy,Pharmacy,5.6388504,-0.7247921,11.19,0.81,67.35003441680566,True,7,41.0,5.636796764853556,-0.2551691866108785,True
Adom,7.4687328,-2.5983739,324.0,9859.0,WorldPop_2020,suburb,Dr. Larbi Clinic,Hospital,7.4438905,-2.5935659,2.81,0.63,141.55799126979932,False,12,57.26,6.964500993939394,-2.4931057818181817,True
Adomako,6.7407771,-2.501463,196.0,554.0,WorldPop_2020,village/town/hamlet,GLORIA K. TETTEH,Pharmacy,6.7896024,-2.5103712,5.52,0.82,61.82271768537158,True,12,24.89,6.964500993939394,-2.4931057818181817,True
Adomako Buoho,6.776963,-1.6501647,291.0,2650.0,WorldPop_2020,village/town/hamlet,ACP,Pharmacy,6.7756912,-1.6443116,0.66,0.81,42.397890500820765,True,8,10.57,6.714017028571429,-1.578396487755102,True
Adomakokrom,6.5693384,-2.3191528,193.0,204.0,WorldPop_2020,village/town/hamlet,Unnamed Clinic,Clinic,6.5297009,-2.4162856,11.6,0.61,46.577648605000206,True,12,47.95,6.964500993939394,-2.4931057818181817,True
Adomano,8.1162784,-1.556689,264.0,289.0,WorldPop_2020,village/town/hamlet,Kunsu chip compound,Clinic,8.1468817,-1.512622,5.93,0.81,118.93575943787842,True,1,59.28,7.707216,-1.9018804730769232,True
Adomanu,6.3030298,-1.6811107,218.0,910.0,WorldPop_2020,village/town/hamlet,D. B. Twumasi Chemicals OTC Medicine,Pharmacy,6.2132762,-1.6884994,10.01,0.81,89.30111590525517,True,8,47.09,6.714017028571429,-1.578396487755102,True
Adome,6.1391254,-0.0010099,109.0,8375.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.14357,0.0083981,1.15,0.61,42.662717255337725,True,13,56.23,6.314441660273973,-0.4781223835616439,True
Adome,6.1458217,-0.1563755,136.0,338.0,WorldPop_2020,village/town/hamlet,EverCare Pharmacy,Pharmacy,6.1284523,-0.2123742,6.49,0.81,32.688095588626624,True,13,40.21,6.314441660273973,-0.4781223835616439,True
Adome,6.243668,0.11677,28.0,2897.0,WorldPop_2020,village/town/hamlet,Eric's Chemists,Pharmacy,6.2393408,0.0922965,2.75,0.81,27.544125185220302,True,4,61.32,6.159094553846154,0.6649345371794871,True
Adomfe,6.6665816,-1.0821491,261.0,3632.0,WorldPop_2020,village/town/hamlet,Unnamed Hospital,Hospital,6.6208128,-1.203852,14.37,0.33,54.44789292513335,True,8,55.06,6.714017028571429,-1.578396487755102,True
Adonai Estate,6.5899135,0.565759,95.0,672.0,WorldPop_2020,locality,Fountain Medical Services,Hospital,6.5959653,0.5180955,5.31,0.81,45.98893136718602,True,4,49.14,6.159094553846154,0.6649345371794871,True
Adontekurom,6.6317248,-0.9741978,224.0,638.0,WorldPop_2020,village/town/hamlet,Apradang Clinic,Hospital,6.5486346,-0.8663086,15.08,0.53,65.21336293299308,True,13,65.18,6.314441660273973,-0.4781223835616439,True
Adopekurom,6.8417503,-2.1072213,366.0,506.0,WorldPop_2020,village/town/hamlet,Anyinasuso Health Centre,Clinic,6.9590279,-2.100323,13.06,0.81,83.15351843784504,True,12,44.73,6.964500993939394,-2.4931057818181817,True
Adoteiman,5.7996655,-0.1561475,90.0,4859.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,5.7912037,-0.157524,0.95,0.61,54.93377884048213,True,7,21.17,5.636796764853556,-0.2551691866108785,True
Adotsim,5.723913,-0.6414486,96.0,492.0,WorldPop_2020,village/town/hamlet,Essaso CHPS compound,Clinic,5.7645167,-0.6977078,7.69,0.81,57.19050874705152,True,7,43.83,5.636796764853556,-0.2551691866108785,True
Adoye (Adwee),7.8518822,-1.9446713,365.0,374.0,WorldPop_2020,village/town/hamlet,Anoma Health Center,Hospital,7.7836552,-1.8712659,11.09,0.53,107.64008291197642,True,1,16.76,7.707216,-1.9018804730769232,True
Adrobaa,7.2603668,-2.1330511,330.0,2556.0,WorldPop_2020,village/town/hamlet,St. John of God Hospital,Hospital,7.1762749,-2.0976539,10.13,0.53,85.65398714669686,True,12,51.58,6.964500993939394,-2.4931057818181817,True
Adu Kwadwo,5.8028703,-0.426262,73.0,3416.0,WorldPop_2020,village/town/hamlet,Adeiso Polyclinic,Clinic,5.7995879,-0.4906689,7.13,0.63,44.270802761485285,True,7,26.45,5.636796764853556,-0.2551691866108785,True
Adu Pri,6.3570681,-2.2524637,164.0,1155.0,WorldPop_2020,village/town/hamlet,Ahwiaso Community Hospital,Hospital,6.3157621,-2.2501706,4.6,0.81,32.1576664345733,True,12,72.58,6.964500993939394,-2.4931057818181817,True
Aduaben,6.552321,-1.5948549,198.0,1426.0,WorldPop_2020,village/town/hamlet,Genak Pharmacy,Pharmacy,6.5890471,-1.6249104,5.26,0.81,60.16475637017787,True,8,18.07,6.714017028571429,-1.578396487755102,True
Aduafakwa,5.5580637,-0.571678,87.0,767.0,WorldPop_2020,village/town/hamlet,GMAD Clinic,Clinic,5.4808556,-0.5654202,8.61,0.53,72.62926888433825,True,7,36.1,5.636796764853556,-0.2551691866108785,True
Aduamkrom,6.5780785,-1.2449487,223.0,535.0,WorldPop_2020,village/town/hamlet,Oheneba Pharmacy,Pharmacy,6.6228188,-1.2169826,5.86,0.81,54.93029550013006,True,8,39.81,6.714017028571429,-1.578396487755102,True
Aduamoa,6.6401533,-0.7573324,532.0,2585.0,WorldPop_2020,village/town/hamlet,Nat Herbal Clinic,Clinic,6.6342427,-0.7403711,1.99,0.92,59.371947910125726,True,13,47.57,6.314441660273973,-0.4781223835616439,True
Aduampong,6.5210459,-1.5781957,200.0,666.0,WorldPop_2020,village/town/hamlet,Bekwai Municipal Hospital,Hospital,6.4560047,-1.5789526,7.23,0.63,62.72246792393962,True,8,21.46,6.714017028571429,-1.578396487755102,True
Aduana,7.022791,-1.7096132,287.0,2300.0,WorldPop_2020,village/town/hamlet,Beked,Pharmacy,6.9637589,-1.6787319,7.4,0.81,35.98129560149835,True,8,37.26,6.714017028571429,-1.578396487755102,True
Aduanum,6.9540589,-0.3038701,175.0,100.0,WorldPop_2020,village/town/hamlet,Tease Health Centre,Health_Center,6.9360659,-0.252574,6.01,0.67,72.8655448167158,True,0,73.62,7.010195706040268,0.36073386979865807,True
Aduasa,5.9059079,-1.044652,131.0,8293.0,WorldPop_2020,village/town/hamlet,Oda Government Hospital,Hospital,5.9284588,-0.9857572,6.98,0.53,73.93456743958355,True,13,77.38,6.314441660273973,-0.4781223835616439,True
Adubeta,6.383206,-0.1844233,355.0,604.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,4.66,0.95,35.17845367731975,True,13,33.35,6.314441660273973,-0.4781223835616439,True
Adubiase,5.6557095,-1.2588948,135.0,7873.0,WorldPop_2020,village/town/hamlet,Clinic,Clinic,5.6835098,-1.4960854,26.43,0.81,108.42861115615766,True,2,55.86,5.250318833333333,-1.5568655866666665,True
Adubiase,6.0531079,-1.1661343,131.0,5143.0,WorldPop_2020,village/town/hamlet,School Clinic,Clinic,5.9697837,-0.9931264,21.26,0.53,81.3868177095586,True,13,81.42,6.314441660273973,-0.4781223835616439,False
Adubiasi,6.3236599,-1.5541543,231.0,1362.0,WorldPop_2020,village/town/hamlet,Ahwenie Memorial Hospital,Hospital,6.4549977,-1.5704577,14.71,0.53,82.9464041204879,True,8,43.49,6.714017028571429,-1.578396487755102,True
Adubirem,6.3490872,-1.6121474,241.0,999.0,WorldPop_2020,village/town/hamlet,Bekwai Matenity,Hospital,6.4551686,-1.5786467,12.36,0.63,81.93711925097536,True,8,40.75,6.714017028571429,-1.578396487755102,True
Adubrim,5.1036686,-2.3391978,26.0,48.0,WorldPop_2020,village/town/hamlet,Aiyinase Clinic,Hospital,5.0433587,-2.4650394,15.47,0.81,120.32885590861028,True,9,64.37,5.670289039344262,-2.458074481967213,True
Adugyama,6.8826061,-1.8730086,248.0,4213.0,WorldPop_2020,village/town/hamlet,Mankranso Government Hospital,Hospital,6.8210441,-1.8627434,6.94,0.81,57.12664439925373,True,8,37.54,6.714017028571429,-1.578396487755102,True
Aduhema,6.6446692,-0.8397889,237.0,1289.0,WorldPop_2020,village/town/hamlet,Nat Herbal Clinic,Clinic,6.6342427,-0.7403711,11.04,0.92,65.45774335934072,True,13,54.27,6.314441660273973,-0.4781223835616439,True
Adukori,5.6696263,-0.8035255,135.0,596.0,WorldPop_2020,village/town/hamlet,Agnes Doris Pharmacy,Pharmacy,5.6388504,-0.7247921,9.36,0.81,70.9970451596384,True,7,60.79,5.636796764853556,-0.2551691866108785,True
Adukro,6.9502768,-1.6716345,291.0,4072.0,WorldPop_2020,village/town/hamlet,Offinso Health Center,Hospital,6.9379419,-1.6748899,1.42,0.53,33.65180377066837,True,8,28.22,6.714017028571429,-1.578396487755102,True
Adukro,6.9682308,-1.6045951,297.0,6405.0,WorldPop_2020,village/town/hamlet,Beked,Pharmacy,6.9637589,-1.6787319,8.2,0.81,26.020531406625008,True,8,28.41,6.714017028571429,-1.578396487755102,True
Adukrom,5.8532914,-0.2278644,299.0,754.0,WorldPop_2020,village/town/hamlet,MBC Pharmacy,Pharmacy,5.7826082,-0.1775058,9.63,0.81,45.57741330010105,True,7,24.26,5.636796764853556,-0.2551691866108785,True
Adukrom,6.0164504,-0.0766329,412.0,8234.0,WorldPop_2020,village/town/hamlet,Daniel A. Tetteh ( Awokye Drug Store),Pharmacy,6.0164575,-0.0778634,0.14,0.81,45.80045266990196,True,7,46.61,5.636796764853556,-0.2551691866108785,True
Adukrom,6.4500421,-2.0545931,173.0,425.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,17.84,0.53,56.04830240402528,True,8,60.24,6.714017028571429,-1.578396487755102,True
Adukrom,6.7035922,-1.5838525,253.0,60315.0,WorldPop_2020,suburb,Nako,Pharmacy,6.7003567,-1.5949466,1.28,0.81,44.57106115395936,False,8,1.31,6.714017028571429,-1.578396487755102,True
Adukrom,6.8566181,-1.3445216,288.0,344.0,WorldPop_2020,village/town/hamlet,Asokore Ahmadiyya Hospital,Hospital,6.8448217,-1.3830389,4.45,0.63,22.34747577818213,True,8,30.3,6.714017028571429,-1.578396487755102,True
Adukrom,6.974494,-0.205964,207.0,130.0,WorldPop_2020,village/town/hamlet,Kwesi Kumah CHPs Compound,CHPS,6.9705129,-0.1632476,4.74,0.67,67.43927453383716,True,0,62.67,7.010195706040268,0.36073386979865807,True
Adukrom,7.0145704,-0.095197,183.0,552.0,WorldPop_2020,village/town/hamlet,Adukrom CHPs Compound,CHPS,7.0140064,-0.0952629,0.06,0.67,64.77880581604559,True,0,50.32,7.010195706040268,0.36073386979865807,True
Adukrom No.2,6.560319,-0.410201,457.0,762.0,WorldPop_2020,village/town/hamlet,Dortorpong Sikasu CHPs Compound,CHPS,6.7377159,-0.3456442,20.97,0.67,39.7484030832257,True,13,28.35,6.314441660273973,-0.4781223835616439,True
Adukunama,6.4879896,-1.8464051,238.0,394.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.6599097,-1.8423071,19.12,0.61,78.29190632485815,True,8,38.83,6.714017028571429,-1.578396487755102,True
Adum,6.6942926,-1.6233319,273.0,87855.0,WorldPop_2020,suburb,Mikaddo Pharmacy Limited,Pharmacy,6.697131,-1.6225313,0.33,0.81,47.72655637178375,False,8,5.43,6.714017028571429,-1.578396487755102,True
Adum Banso,5.0653642,-1.8974698,64.0,2992.0,WorldPop_2020,village/town/hamlet,Evanex Pharmacy,Pharmacy,5.0019315,-2.0250769,15.8,0.81,139.5620343322417,True,2,42.96,5.250318833333333,-1.5568655866666665,True
Adum Trebuom,5.0185963,-1.9218556,34.0,311.0,WorldPop_2020,village/town/hamlet,Evanex Pharmacy,Pharmacy,5.0019315,-2.0250769,11.58,0.81,142.96067673199684,True,2,47.94,5.250318833333333,-1.5568655866666665,True
Adum-Line,5.8225152,-2.8190553,85.0,3676.0,WorldPop_2020,suburb,Johnson Mensah Good Name,Pharmacy,5.8215717,-2.8202937,0.17,0.81,54.3353187620839,False,9,43.38,5.670289039344262,-2.458074481967213,True
Adumadum,7.8269895,0.3649796,169.0,1225.0,WorldPop_2020,village/town/hamlet,Okanease CHPs,CHPS,7.742699,0.3662283,9.37,0.67,41.75579336572896,True,10,57.52,8.31955012745098,0.20536231960784324,True
Aduman,6.826714,-1.624992,283.0,527.0,WorldPop_2020,village/town/hamlet,Penak,Pharmacy,6.8173164,-1.6478957,2.74,0.81,36.53814207868521,True,8,13.55,6.714017028571429,-1.578396487755102,True
Adumanu,6.7111735,-1.6495934,265.0,72021.0,WorldPop_2020,suburb,Acolatse Clinic,Clinic,6.7051444,-1.6471662,0.72,0.53,47.89116929722844,False,8,7.87,6.714017028571429,-1.578396487755102,True
Adumasa,6.3756677,0.0601298,226.0,1263.0,WorldPop_2020,village/town/hamlet,VRA Hospital,Hospital,6.2639983,0.0583854,12.42,0.53,16.850630405269392,True,13,59.87,6.314441660273973,-0.4781223835616439,True
Adumasa,6.4798664,-1.4698157,302.0,721.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,1.35,0.53,64.2284995790119,True,8,28.67,6.714017028571429,-1.578396487755102,True
Adumasa,6.5588173,-1.3078911,201.0,1665.0,WorldPop_2020,village/town/hamlet,Oheneba Pharmacy,Pharmacy,6.6228188,-1.2169826,12.31,0.81,55.48472089308191,True,8,34.5,6.714017028571429,-1.578396487755102,True
Adumasa,6.6010496,-2.0139132,180.0,744.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,10.59,0.53,69.69944199953298,True,8,49.71,6.714017028571429,-1.578396487755102,True
Adumasa,6.6168156,-1.6719376,253.0,4059.0,WorldPop_2020,village/town/hamlet,Gary Marvin Memorial Hospital,Hospital,6.604927,-1.6603731,1.84,0.53,57.83865934769459,True,8,14.95,6.714017028571429,-1.578396487755102,True
Adumasa,7.6767055,-1.6161036,289.0,221.0,WorldPop_2020,village/town/hamlet,St. Theresia Hospital,Hospital,7.570285,-1.7040502,15.3,0.53,73.37036598660262,True,1,31.67,7.707216,-1.9018804730769232,True
Adumaso Trayo,6.0658894,-0.3975824,202.0,1568.0,WorldPop_2020,village/town/hamlet,Unnamed Hospital,Hospital,6.040978,-0.4435667,5.79,0.47,16.057995204729426,True,13,29.04,6.314441660273973,-0.4781223835616439,True
Adumkrom,6.8859652,-3.1489801,209.0,289.0,WorldPop_2020,village/town/hamlet,Massakrom CHPS,Clinic,6.9216504,-3.1660639,4.39,0.53,107.0596088203329,True,12,72.92,6.964500993939394,-2.4931057818181817,True
Adumupe,8.4974952,-0.5078455,174.0,485.0,WorldPop_2020,village/town/hamlet,Presbyterian Primary Health Center,Hospital,8.5343751,-0.515382,4.18,0.53,94.67321848683773,True,10,80.91,8.31955012745098,0.20536231960784324,False
Adunku,6.5347057,-1.5727294,222.0,2239.0,WorldPop_2020,village/town/hamlet,Genak Pharmacy,Pharmacy,6.5890471,-1.6249104,8.35,0.81,61.09634334331893,True,8,19.95,6.714017028571429,-1.578396487755102,True
Adunkwae,6.653991,-0.9291825,248.0,284.0,WorldPop_2020,village/town/hamlet,Apradang Clinic,Hospital,6.5486346,-0.8663086,13.62,0.53,67.12398016618295,True,13,62.52,6.314441660273973,-0.4781223835616439,True
Adunsa,5.8156788,-0.9185439,161.0,1094.0,WorldPop_2020,village/town/hamlet,Achiase Health Centre,Hospital,5.8447952,-1.0011211,9.69,0.63,67.57543526233631,True,13,73.81,6.314441660273973,-0.4781223835616439,True
Aduonya,7.513856,-2.4386854,228.0,25.0,WorldPop_2020,village/town/hamlet,Dagadu CHPS Compound,Health_Post,7.6114215,-2.3864246,12.28,0.53,126.91098196632792,True,12,61.38,6.964500993939394,-2.4931057818181817,True
Adupe,9.313813,-1.0223186,142.0,529.0,WorldPop_2020,village/town/hamlet,Sankpala Health Center,Clinic,9.2645308,-1.004649,5.81,0.53,116.77101316936714,True,6,13.21,9.432527868333334,-1.01728251,True
Adupri,6.4965482,-2.0146496,206.0,276.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,15.65,0.53,62.55020588941228,True,8,53.91,6.714017028571429,-1.578396487755102,True
Adupri,6.5606144,-2.1006268,203.0,319.0,WorldPop_2020,village/town/hamlet,Nyinahin Hospital,Hospital,6.6008109,-2.1097935,4.58,0.53,59.639248067093824,True,8,60.15,6.714017028571429,-1.578396487755102,True
Adusa,5.7595782,-0.2583128,203.0,354.0,WorldPop_2020,village/town/hamlet,Samsam Community Clinic,Clinic,5.7775789,-0.3002303,5.05,0.81,53.235825572984176,True,7,13.66,5.636796764853556,-0.2551691866108785,True
Aduwamase,6.6022203,-1.7522303,271.0,698.0,WorldPop_2020,village/town/hamlet,Afari Military Hospital,Hospital,6.6841974,-1.7886159,9.96,0.53,64.38140570784932,True,8,22.87,6.714017028571429,-1.578396487755102,True
Adwafo,6.1921073,-1.0478747,158.0,4365.0,WorldPop_2020,village/town/hamlet,Kade Government Hospital,Hospital,6.1007397,-0.8396296,25.16,0.53,66.59958824556554,True,13,64.43,6.314441660273973,-0.4781223835616439,True
Adwafo Krom,6.5279645,-1.4381198,130.0,558.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,7.67,0.53,58.51926975341055,True,8,25.85,6.714017028571429,-1.578396487755102,True
Adwafo New Town,6.5233045,-1.4786331,283.0,1596.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,6.19,0.53,59.64012805918154,True,8,23.9,6.714017028571429,-1.578396487755102,True
Adwafo Old Town,6.4936406,-1.4729054,282.0,780.0,WorldPop_2020,village/town/hamlet,Richard Fowler Catholic Clinic,Clinic,6.4679724,-1.4723001,2.85,0.53,62.77339440756417,True,8,27.13,6.714017028571429,-1.578396487755102,True
Adwen Amba Ntsem,5.6834493,-0.8542071,114.0,343.0,WorldPop_2020,village/town/hamlet,Odoben Health Center,Health_Center,5.6331868,-0.885386,6.57,0.67,73.06295931745392,True,7,66.49,5.636796764853556,-0.2551691866108785,True
Adweso,6.0633434,-0.2492703,170.0,19602.0,WorldPop_2020,village/town/hamlet,Adweso Clinic,Hospital,6.0634948,-0.253995,0.52,0.63,26.695117717241036,True,13,37.68,6.314441660273973,-0.4781223835616439,True
Adwinhuhia,5.5979996,-0.4717067,71.0,4065.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,5.5880872,-0.4199641,5.83,0.61,66.93103190169202,True,7,24.35,5.636796764853556,-0.2551691866108785,True
Adwoaagyeikurom,6.4606847,-0.7634884,210.0,349.0,WorldPop_2020,village/town/hamlet,Soafa Scientific Herbal Hospital,Hospital,6.533256,-0.7505454,8.2,0.53,45.2372948981455,True,13,35.48,6.314441660273973,-0.4781223835616439,True
Adwobue,5.9629901,-1.0770264,123.0,4149.0,WorldPop_2020,village/town/hamlet,Boys Dormitory,Clinic,5.9689484,-0.9933071,9.28,0.63,74.69275084760254,True,13,76.89,6.314441660273973,-0.4781223835616439,True
Adwoodwoo,6.9026063,-2.0954195,265.0,466.0,WorldPop_2020,village/town/hamlet,Anyinasuso Health Centre,Clinic,6.9590279,-2.100323,6.3,0.81,80.22461820980186,True,12,44.43,6.964500993939394,-2.4931057818181817,True
Adwumakase-Kese,6.8155791,-1.5961531,308.0,696.0,WorldPop_2020,village/town/hamlet,GeoRuth Pharmacy,Pharmacy,6.7843228,-1.5746085,4.21,0.81,35.21462610747679,True,8,11.46,6.714017028571429,-1.578396487755102,True
Adwumako,6.1950758,-0.4803195,230.0,898.0,WorldPop_2020,village/town/hamlet,Maryland Clinic,Clinic,6.18275,-0.472341,1.63,0.81,3.8690894557809634,True,13,13.28,6.314441660273973,-0.4781223835616439,True
Adwumam,6.3796461,-2.4405782,167.0,695.0,WorldPop_2020,village/town/hamlet,Pafo Nkwanta CHPS Compound,Clinic,6.5106386,-2.4339787,14.58,0.81,22.39104215615896,True,12,65.29,6.964500993939394,-2.4931057818181817,True
Adwumam,6.5283246,-1.565269,218.0,2162.0,WorldPop_2020,village/town/hamlet,Ahwenie Memorial Hospital,Hospital,6.4549977,-1.5704577,8.17,0.53,61.48934646243504,True,8,20.7,6.714017028571429,-1.578396487755102,True
Adwuman,6.7578389,-1.5647069,295.0,1980.0,WorldPop_2020,village/town/hamlet,T.M Pharmacy,Pharmacy,6.7820006,-1.5780984,3.07,0.81,38.32243997355557,True,8,5.1,6.714017028571429,-1.578396487755102,True
Adwumankese,6.5400543,-2.4940378,189.0,729.0,WorldPop_2020,village/town/hamlet,Star of Hope Hospital,Hospital,6.5054442,-2.4999113,3.9,0.81,39.61053550187254,True,12,47.2,6.964500993939394,-2.4931057818181817,True
Adyakwa,6.4803119,-0.3068072,480.0,403.0,WorldPop_2020,village/town/hamlet,Asesewa Government Hospital,Hospital,6.4017208,-0.146631,19.74,0.95,34.356707453994495,True,13,26.43,6.314441660273973,-0.4781223835616439,True
Adzikpo,6.1143873,-0.0202292,105.0,6545.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,6.1083771,-0.0110179,1.22,0.61,46.04865831514041,True,13,55.29,6.314441660273973,-0.4781223835616439,True
Adzikpo Yokunya,6.117461,-0.0115348,103.0,7907.0,WorldPop_2020,village/town/hamlet,Atua Government Hospital,Hospital,6.1196883,-0.0080317,0.46,0.53,45.32646579142275,True,13,56.04,6.314441660273973,-0.4781223835616439,True
Adzintam,5.4611332,-0.6194647,47.0,1619.0,WorldPop_2020,village/town/hamlet,GMAD Clinic,Clinic,5.4808556,-0.5654202,6.37,0.53,84.22172541128637,True,7,44.8,5.636796764853556,-0.2551691866108785,True
Adzomanukope,5.8391043,0.3889739,6.0,3317.0,WorldPop_2020,village/town/hamlet,Unnamed Pharmacy,Pharmacy,5.8635207,0.4333225,5.61,0.33,76.06358663526791,True,4,46.88,6.159094553846154,0.6649345371794871,True
Afa yili,9.7323217,-1.0607909,116.0,426.0,WorldPop_2020,village/town/hamlet,Bontanga hospital,Hospital,9.5792913,-0.9950347,18.48,0.53,73.6068958315793,True,6,33.68,9.432527868333334,-1.01728251,True
Afaben,5.8330365,-0.4951304,123.0,557.0,WorldPop_2020,village/town/hamlet,Annat Medical Diagnostics Centre,Doctor,5.8014438,-0.4914678,3.54,0.81,41.237140300542514,True,7,34.37,5.636796764853556,-0.2551691866108785,True
Afaga,5.8267286,-0.3349596,62.0,4635.0,WorldPop_2020,village/town/hamlet,Ever Care Pharmacy,Pharmacy,5.8102892,-0.3351267,1.83,0.81,43.36297113366135,True,7,22.89,5.636796764853556,-0.2551691866108785,True
Afamanso,6.9497718,-1.508026,296.0,6073.0,WorldPop_2020,village/town/hamlet,Priceline Pharmacy,Pharmacy,6.8715388,-1.5099093,8.7,0.81,17.816632495816318,True,8,27.34,6.714017028571429,-1.578396487755102,True
Afasiebon,6.6694295,-1.6971892,240.0,27754.0,WorldPop_2020,village/town/hamlet,Aburaso Health center,Hospital,6.6611852,-1.6769815,2.41,0.81,54.77492936299571,True,8,14.02,6.714017028571429,-1.578396487755102,True
Afaw,5.3852408,-1.1944547,116.0,325.0,WorldPop_2020,village/town/hamlet,Hayford Dorothy,Pharmacy,5.2450265,-1.2480883,16.68,0.67,122.63675060236416,True,2,42.84,5.250318833333333,-1.5568655866666665,True
Afaya,9.5917104,-0.7583785,153.0,738.0,WorldPop_2020,village/town/hamlet,Nanton Kurug Clinic (New),Hospital,9.6171526,-0.7453967,3.17,0.53,83.6871274598379,True,6,33.46,9.432527868333334,-1.01728251,True
Afayili,8.6246878,-0.2832327,151.0,888.0,WorldPop_2020,village/town/hamlet,Clinic,Clinic,8.4881281,-0.1807559,18.91,0.53,96.16201035145528,True,10,63.55,8.31955012745098,0.20536231960784324,True
Afayili,9.6568044,-1.0623509,109.0,181.0,WorldPop_2020,village/town/hamlet,Bontanga hospital,Hospital,9.5792913,-0.9950347,11.35,0.53,81.4454929408043,True,6,25.42,9.432527868333334,-1.01728251,True
Afe Daeye,5.8891245,-1.4989579,88.0,571.0,WorldPop_2020,village/town/hamlet,Clinic,Clinic,5.6835098,-1.4960854,22.87,0.81,113.8115323177088,True,2,71.32,5.250318833333333,-1.5568655866666665,True
Afedikrom,6.4480096,-2.6511039,190.0,499.0,WorldPop_2020,village/town/hamlet,Asarekrom CHPS,Clinic,6.5762288,-2.6390223,14.32,0.81,34.716165890582566,True,12,60.02,6.964500993939394,-2.4931057818181817,True
