Village,Latitude,Longitude,Population,Place_Type,Hub_ID,Dist_hub_km,Covered,Operateur
Banko,7.0414824,-1.6509828,1525.0,village/town/hamlet,26,29.33,True,Zipline
Bankrumisa,6.2062914,-2.3360624,2244.0,village/town/hamlet,28,16.63,True,Zipline
Bankuman,5.6549328,0.0310814,8501.0,neighbourhood,-1,-1.0,False,Aucun
Bankyease,6.9129648,-2.805061,402.0,village/town/hamlet,-1,-1.0,False,Aucun
Bannayili,9.468453,-0.9145622,1190.0,village/town/hamlet,0,14.44,True,MASA
Banso,6.2440253,-0.6285194,4151.0,village/town/hamlet,25,20.67,True,Zipline
Banso,6.4718696,-1.4295749,612.0,village/town/hamlet,26,64.97,True,Zipline
Banso,6.4752535,-1.1979431,3262.0,village/town/hamlet,26,67.66,True,Zipline
Bantama,6.7051319,-1.63486,82435.0,suburb,26,47.61,True,Zipline
Bantama,7.713653,-0.7503366,2620.0,village/town/hamlet,-1,-1.0,False,Aucun
Banu,7.6112598,-2.9056971,1536.0,village/town/hamlet,16,13.54,True,MASA
Banu,10.8139439,-1.598319,1041.0,village/town/hamlet,-1,-1.0,False,Aucun
Banue Nkwanta,7.2500667,-2.3629396,748.0,village/town/hamlet,8,11.07,True,MASA
Banvum,9.362291,-0.8381846,6118.0,suburb,0,3.54,True,MASA
Baraluan,10.5325811,0.0302499,1038.0,village/town/hamlet,-1,-1.0,False,Aucun
Barekese,6.8502679,-1.7341743,3968.0,village/town/hamlet,26,44.69,True,Zipline
Bari,10.744787,-0.7956308,662.0,suburb,27,44.24,True,Zipline
Bari Nkwanta,6.0464344,-0.1605678,1282.0,village/town/hamlet,25,36.04,True,Zipline
Baribari,11.1142958,-0.2278698,1328.0,village/town/hamlet,20,29.95,True,MASA
Barimayena,6.7520662,-2.0120402,310.0,village/town/hamlet,26,76.91,True,Zipline
Barinya,10.444268,-0.325993,184.0,isolated_dwelling,27,53.33,True,Zipline
Barniekrom,6.540649,-2.1766874,2376.0,village/town/hamlet,28,52.42,True,Zipline
Barniekrom,6.8793954,-1.9533024,1299.0,village/town/hamlet,26,65.63,True,Zipline
Barracks Newtown,6.6142005,0.4920888,11974.0,suburb,29,39.0,True,Zipline
Basiasan,10.7988186,-1.5606735,641.0,village/town/hamlet,-1,-1.0,False,Aucun
Bassa,7.7904624,-0.4166469,1463.0,village/town/hamlet,30,44.53,True,Zipline
Bassa,7.9331697,-1.4380395,469.0,village/town/hamlet,21,20.85,True,MASA
Bassa Konkonba,7.9628076,-1.4310792,313.0,village/town/hamlet,21,23.31,True,MASA
Bassarekura,8.5545356,0.0805521,372.0,village/town/hamlet,13,26.48,True,MASA
Batabi,5.910037,-0.9159826,2332.0,village/town/hamlet,25,61.3,True,Zipline
Batanyaa,5.2289936,-1.2036467,3878.0,village/town/hamlet,1,16.54,True,MASA
Batanyili,9.6319608,-0.7144941,397.0,village/town/hamlet,0,29.68,True,MASA
Batanyipeligu,9.6402401,-0.7190681,334.0,locality,27,79.13,True,Zipline
Batea,7.5515875,-2.9016447,461.0,village/town/hamlet,16,13.38,True,MASA
Bato,8.6263605,0.0890054,1090.0,village/town/hamlet,13,28.67,True,MASA
Batoo,6.6239653,-0.3565004,753.0,village/town/hamlet,25,47.88,True,Zipline
Battor,6.06917,0.4041658,5303.0,village/town/hamlet,29,53.74,True,Zipline
Battor,8.1474717,-0.7438218,147.0,village/town/hamlet,-1,-1.0,False,Aucun
Bau,8.5305326,-0.6281685,1159.0,village/town/hamlet,-1,-1.0,False,Aucun
Bawa Akura,8.2067039,-0.16049,348.0,village/town/hamlet,30,48.27,True,Zipline
Bawdie,5.6355312,-2.0961525,3076.0,village/town/hamlet,28,74.41,True,Zipline
Bawdua,6.0539908,-0.7948163,9633.0,village/town/hamlet,25,41.94,True,Zipline
Bawina,9.5455835,-1.6337845,663.0,village/town/hamlet,-1,-1.0,False,Aucun
Bawjiase,5.6837409,-0.5561676,10483.0,village/town/hamlet,25,58.97,True,Zipline
Bawjwiasi,6.9178089,-1.3365781,581.0,village/town/hamlet,26,16.13,True,Zipline
Bawku,10.4315616,-0.5292481,975.0,village/town/hamlet,27,31.43,True,Zipline
Bawku,11.0607602,-0.2422876,61000.0,village/town/hamlet,20,24.53,True,MASA
Baya,8.0228898,-0.9988198,815.0,village/town/hamlet,-1,-1.0,False,Aucun
Bayerebon No. 1,6.3401745,-2.2177312,223.0,village/town/hamlet,28,34.33,True,Zipline
Bayerebon No. 2,6.3645479,-2.2122075,230.0,village/town/hamlet,28,36.3,True,Zipline
Bayerebon No. 3,6.3746481,-2.1965703,615.0,village/town/hamlet,28,38.36,True,Zipline
Bayerebon No. 4,6.3827126,-2.1898381,581.0,village/town/hamlet,28,39.48,True,Zipline
Bayerebon No. 5,6.3942972,-2.1774601,912.0,village/town/hamlet,28,41.34,True,Zipline
Bazeesa,10.3265623,-1.238215,338.0,village/town/hamlet,27,47.61,True,Zipline
Bazua,11.0022828,-0.3557846,2890.0,village/town/hamlet,20,25.81,True,MASA
Beahu,4.8934061,-1.8418837,7509.0,village/town/hamlet,3,14.9,True,MASA
Bebu,6.6129489,-1.6865002,3379.0,village/town/hamlet,26,59.29,True,Zipline
Bebua,6.7469688,-0.8195141,170.0,village/town/hamlet,26,71.22,True,Zipline
Bebuano,7.4204957,-1.7493582,497.0,village/town/hamlet,26,57.16,True,Zipline
Bebuso,6.9976164,-0.1304723,790.0,village/town/hamlet,29,65.2,True,Zipline
Bechem,7.08778,-2.0246,17000.0,village/town/hamlet,26,70.62,True,Zipline
Bechem Nkwanta,7.0611793,-2.0304269,3764.0,village/town/hamlet,26,71.17,True,Zipline
Bedabour,6.7180026,-1.8888544,392.0,village/town/hamlet,26,66.99,True,Zipline
Bedabour,6.72921,-2.5362378,325.0,village/town/hamlet,28,61.11,True,Zipline
Bedeku,5.895285,0.5347466,6272.0,village/town/hamlet,29,77.75,True,Zipline
Bediakokrom,6.9567314,-2.6186489,1839.0,village/town/hamlet,-1,-1.0,False,Aucun
Bediakokurom,6.6860237,-0.4459924,512.0,village/town/hamlet,25,53.74,True,Zipline
Bedifi,6.6970402,-1.8843217,192.0,village/town/hamlet,26,67.91,True,Zipline
Bedomase,6.9572693,-1.5042494,8803.0,village/town/hamlet,26,16.99,True,Zipline
Bedome,7.1347182,-2.1019265,240.0,isolated_dwelling,26,79.55,True,Zipline
Beebianyeha,5.5406697,-0.6957087,24838.0,suburb,4,17.81,True,MASA
Beenuena,5.4207237,-1.1298618,401.0,isolated_dwelling,1,25.38,True,MASA
Beenuyie,5.3686723,-1.5210801,290.0,village/town/hamlet,10,13.65,True,MASA
Begoro,5.8140597,-0.7364905,424.0,village/town/hamlet,25,53.83,True,Zipline
Begoro,6.203144,-0.0827837,744.0,village/town/hamlet,25,40.17,True,Zipline
Begoro,6.38479,-0.376333,29516.0,village/town/hamlet,25,21.67,True,Zipline
Begroase,6.3693981,-1.6098396,546.0,village/town/hamlet,-1,-1.0,False,Aucun
Begu,9.5357141,-1.0053783,404.0,village/town/hamlet,0,26.89,True,MASA
Begyeahaso,5.8289046,-2.8175265,3127.0,suburb,28,53.83,True,Zipline
Behenase,6.325357,-1.7160371,384.0,village/town/hamlet,-1,-1.0,False,Aucun
Behenase,6.6606554,-1.6954243,19586.0,village/town/hamlet,26,55.57,True,Zipline
Behiase,6.5603762,-1.547074,3339.0,village/town/hamlet,26,57.77,True,Zipline
Behinase,6.5693014,-0.8864272,107.0,village/town/hamlet,25,63.47,True,Zipline
Beigbande,10.3000886,0.196445,347.0,village/town/hamlet,22,3.24,True,MASA
Beima,8.0083908,-2.2998205,559.0,village/town/hamlet,-1,-1.0,False,Aucun
Bejuaplau,6.2631796,-0.185177,341.0,village/town/hamlet,25,29.63,True,Zipline
Bekawopa,5.3255017,-1.4016259,108.0,village/town/hamlet,10,23.44,True,MASA
Bekoase,5.7682423,-0.7150836,326.0,village/town/hamlet,25,56.73,True,Zipline
Bekoso,5.4763256,-1.0562432,665.0,village/town/hamlet,-1,-1.0,False,Aucun
Beku,4.9701789,-2.5014593,1435.0,village/town/hamlet,17,16.65,True,MASA
Bekwai,6.456707,-1.5837496,10000.0,village/town/hamlet,26,69.98,True,Zipline
Bekye,5.9283782,-0.5526638,505.0,village/town/hamlet,25,32.7,True,Zipline
Bembisi,10.9254542,-0.9617664,1499.0,village/town/hamlet,27,66.61,True,Zipline
Benchema,6.4379753,-2.7725503,1705.0,village/town/hamlet,28,42.7,True,Zipline
Benchiwa,6.4359198,-2.6278353,614.0,village/town/hamlet,28,32.38,True,Zipline
Benda Nkwanta,5.5392916,-2.5438912,254.0,village/town/hamlet,28,71.77,True,Zipline
Bende,10.5609409,-0.0245846,2095.0,village/town/hamlet,-1,-1.0,False,Aucun
Bende-Gbloku,10.5536027,-0.0633538,396.0,village/town/hamlet,-1,-1.0,False,Aucun
Benim,7.088389,-1.471369,1576.0,village/town/hamlet,26,10.2,True,Zipline
Benja,9.7096386,0.1631161,730.0,village/town/hamlet,18,5.68,True,MASA
Benkae,7.5461577,-1.8647707,732.0,village/town/hamlet,26,76.05,True,Zipline
Benkasa,7.4068389,-2.6490811,1560.0,village/town/hamlet,16,24.98,True,MASA
Benkrom,8.7581374,-1.4543223,1371.0,village/town/hamlet,24,13.57,True,MASA
Benkute,10.8156075,-0.7745044,930.0,suburb,27,52.2,True,Zipline
Bensaase,6.386735,-1.8172103,874.0,village/town/hamlet,28,77.19,True,Zipline
Benso,5.1603968,-1.89375,1293.0,village/town/hamlet,6,23.43,True,MASA
Bensuoso,6.4713099,-1.7794856,313.0,village/town/hamlet,26,78.09,True,Zipline
Bentekrom,6.7337413,-1.889891,146.0,village/town/hamlet,26,66.12,True,Zipline
Bentsigua,5.2733688,-1.0823035,1696.0,village/town/hamlet,1,8.17,True,MASA
Bentum,5.9414265,-1.3948385,100.0,village/town/hamlet,-1,-1.0,False,Aucun
Benya,9.962989,-2.6842466,612.0,village/town/hamlet,7,18.73,True,MASA
Benyadza Firi Nyame,5.3828322,-1.4661778,116.0,village/town/hamlet,10,14.1,True,MASA
Benyarko,7.734195,-0.664528,4116.0,village/town/hamlet,30,72.19,True,Zipline
Beo,10.7658881,-0.8020336,1090.0,suburb,27,46.58,True,Zipline
Bepoase,5.9115997,-1.4683083,302.0,village/town/hamlet,-1,-1.0,False,Aucun
Bepoase,6.3185936,-0.3032157,1171.0,village/town/hamlet,25,20.39,True,Zipline
Bepoase,6.3701838,-2.7162935,267.0,village/town/hamlet,28,33.08,True,Zipline
Bepoase,7.0841184,-1.5621975,6519.0,village/town/hamlet,26,19.77,True,Zipline
Bepoase,7.774429,-2.5578196,1414.0,village/town/hamlet,-1,-1.0,False,Aucun
Bepobeng,5.7268487,-1.689156,544.0,village/town/hamlet,-1,-1.0,False,Aucun
Bepoh,5.602934,-2.0606313,2056.0,village/town/hamlet,6,29.51,True,MASA
Bepong,6.6034461,-0.7120612,6584.0,village/town/hamlet,25,53.37,True,Zipline
Beposo,5.1233239,-1.6128343,8785.0,village/town/hamlet,3,23.78,True,MASA
Beposo,5.3796891,-1.1784259,1161.0,village/town/hamlet,1,23.71,True,MASA
Beposo,6.0736775,-2.3650994,432.0,village/town/hamlet,28,17.87,True,Zipline
Beposo,6.4410538,-2.1727534,384.0,village/town/hamlet,28,44.91,True,Zipline
Beposo,6.5068545,-1.3443304,1631.0,village/town/hamlet,26,61.06,True,Zipline
Beposo,6.5216411,-2.1296467,448.0,village/town/hamlet,28,54.44,True,Zipline
Beposo,6.5378192,-2.6159083,363.0,village/town/hamlet,28,42.15,True,Zipline
Beposo,6.7311506,-1.9122218,353.0,village/town/hamlet,26,68.36,True,Zipline
Beposo,6.8157309,-1.850743,2372.0,village/town/hamlet,26,57.81,True,Zipline
Beposo,6.9811243,-1.3523291,3073.0,village/town/hamlet,26,8.94,True,Zipline
Beposo,6.9836712,-2.8890299,515.0,village/town/hamlet,-1,-1.0,False,Aucun
Beposo,7.1525282,-2.2877553,497.0,village/town/hamlet,8,12.89,True,MASA
Beposo,7.6879944,-2.1060035,2874.0,village/town/hamlet,5,23.94,True,MASA
Beposo,7.8737652,-1.7799808,1172.0,village/town/hamlet,12,4.77,True,MASA
Beposo,7.8891167,-0.9424339,1639.0,village/town/hamlet,-1,-1.0,False,Aucun
Beposo,8.0250004,-0.9571813,2294.0,village/town/hamlet,-1,-1.0,False,Aucun
Beposo,8.2533264,-0.1151633,425.0,village/town/hamlet,30,51.87,True,Zipline
Beposo Nkran,5.1213133,-1.6030047,3702.0,village/town/hamlet,3,24.12,True,MASA
Beposo No.1,6.4453076,-2.5130139,624.0,village/town/hamlet,28,29.45,True,Zipline
Beposo No.2,6.4452491,-2.5050073,583.0,village/town/hamlet,28,29.36,True,Zipline
Beposo Osaikrom,6.4890559,-1.2208852,286.0,village/town/hamlet,26,65.45,True,Zipline
Bepotrim,7.5780625,-2.1481007,723.0,village/town/hamlet,5,10.9,True,MASA
Bepowase,5.8729322,-0.5129596,509.0,village/town/hamlet,25,37.4,True,Zipline
Bepowasi,6.0364585,-0.0882605,2356.0,village/town/hamlet,25,43.68,True,Zipline
Bepowtumtum,6.375713,-1.0741013,480.0,village/town/hamlet,25,72.02,True,Zipline
Berdum,7.305484,-0.9237984,265.0,village/town/hamlet,26,58.08,True,Zipline
Beredane,6.5067596,-0.7266077,175.0,village/town/hamlet,25,45.86,True,Zipline
Berekum,7.450473,-2.5824981,70536.0,village/town/hamlet,16,26.99,True,MASA
Berekuso,5.7593581,-0.2250359,2732.0,village/town/hamlet,25,55.03,True,Zipline
Beremfio,10.5662276,-0.0861794,964.0,village/town/hamlet,-1,-1.0,False,Aucun
Beremkurom,6.494242,-0.8662623,471.0,village/town/hamlet,25,56.62,True,Zipline
Berlin Top,7.3433216,-2.3557314,5869.0,suburb,8,21.15,True,MASA
Besease,5.9489684,-0.5392742,200.0,village/town/hamlet,25,30.03,True,Zipline
Besease,6.040665,-2.0101853,916.0,village/town/hamlet,28,54.75,True,Zipline
Besease,6.0538573,-1.094442,865.0,village/town/hamlet,25,73.56,True,Zipline
Besease,6.4765315,-1.813172,392.0,village/town/hamlet,26,79.75,True,Zipline
Besease,6.5334838,-0.8360706,262.0,village/town/hamlet,25,56.65,True,Zipline
Besease,6.606258,-0.8966839,3044.0,village/town/hamlet,25,67.02,True,Zipline
Besease,6.7236025,-1.4487314,5643.0,village/town/hamlet,26,37.45,True,Zipline
Besease,6.7790166,-1.6229698,1887.0,village/town/hamlet,26,40.32,True,Zipline
Besiasi,5.1138037,-1.5048632,2135.0,village/town/hamlet,-1,-1.0,False,Aucun
Besum,5.5647617,-0.5783889,713.0,village/town/hamlet,4,21.17,True,MASA
Betekpo,6.1717823,0.1617682,187.0,village/town/hamlet,29,35.22,True,Zipline
Betemano,5.9669808,-0.2967247,571.0,village/town/hamlet,25,30.99,True,Zipline
Betenase,6.1292008,-2.5509567,299.0,village/town/hamlet,28,9.4,True,Zipline
Betenase,6.1544941,-2.0392728,691.0,village/town/hamlet,28,49.32,True,Zipline
Betenko,6.9848627,-2.0693189,528.0,village/town/hamlet,26,75.86,True,Zipline
Bethlehem,5.5261957,-1.7003698,334.0,village/town/hamlet,10,18.94,True,MASA
Bethlehem,5.6958255,-2.3142985,211.0,village/town/hamlet,28,57.24,True,Zipline
Bethlehem,5.7102871,-0.0098106,16845.0,suburb,25,72.99,True,Zipline
Bethlehem,6.2310883,-2.1193493,760.0,village/town/hamlet,28,40.73,True,Zipline
Betinko,6.6266395,-1.9632726,771.0,village/town/hamlet,28,75.91,True,Zipline
Betm,8.1897317,-0.1297116,613.0,village/town/hamlet,30,45.42,True,Zipline
Betoda,6.9438828,-2.775743,205.0,village/town/hamlet,-1,-1.0,False,Aucun
Betoda,7.761519,-1.5026513,246.0,village/town/hamlet,21,18.62,True,MASA
Betresechere,6.9878552,-2.739544,233.0,village/town/hamlet,-1,-1.0,False,Aucun
Betsingua,5.2863811,-1.1197579,2480.0,village/town/hamlet,1,11.49,True,MASA
Bewadze,5.5738729,-0.5940396,521.0,village/town/hamlet,4,21.57,True,MASA
Beware,5.9898236,-0.1468644,865.0,village/town/hamlet,25,40.69,True,Zipline
Bewasi,5.9772131,-0.1537958,803.0,village/town/hamlet,25,40.91,True,Zipline
Bewura,5.3910515,-1.063512,853.0,village/town/hamlet,1,20.75,True,MASA
Beyedenkrom,6.5963239,-2.3347636,408.0,village/town/hamlet,28,48.95,True,Zipline
Beyin,4.987364,-2.589498,2967.0,village/town/hamlet,11,22.36,True,MASA
Biagu,10.6003173,-0.8032831,657.0,village/town/hamlet,27,28.17,True,Zipline
Biakpa,6.8426595,0.4217555,1302.0,village/town/hamlet,29,48.69,True,Zipline
Biakuso,5.8279533,-0.5321959,766.0,village/town/hamlet,25,42.74,True,Zipline
Bianhyew,7.555861,-2.0593513,796.0,village/town/hamlet,5,14.91,True,MASA
Bianhyew,7.6358198,-1.9344961,343.0,village/town/hamlet,12,26.81,True,MASA
Biano Nkwanta,6.5095287,-2.9464655,394.0,village/town/hamlet,28,62.71,True,Zipline
Biaso,7.0952535,-2.7136245,572.0,village/town/hamlet,-1,-1.0,False,Aucun
Biaso Kasapin,7.0769268,-2.7465821,104.0,village/town/hamlet,-1,-1.0,False,Aucun
Bibiani,6.452944,-2.314959,36487.0,village/town/hamlet,28,35.48,True,Zipline
Bichooteng,9.8592963,-2.4862468,244.0,village/town/hamlet,7,22.18,True,MASA
Biden,5.2290543,-1.0078989,452.0,village/town/hamlet,1,6.01,True,MASA
Bidiem,6.1978518,-1.6948798,17159.0,suburb,-1,-1.0,False,Aucun
Bidieso,6.2061848,-1.6781928,22575.0,suburb,-1,-1.0,False,Aucun
Biemso No.1,6.8793467,-1.8532495,1479.0,village/town/hamlet,26,55.18,True,Zipline
Biemso No.2,6.899656,-1.8589506,913.0,village/town/hamlet,26,55.02,True,Zipline
Bienne,5.8733204,-0.9388878,2695.0,village/town/hamlet,25,65.65,True,Zipline
Big Ada,5.816963,0.614866,5277.0,village/town/hamlet,-1,-1.0,False,Aucun
Bihi-naayili,9.5177377,-1.0534054,145.0,village/town/hamlet,-1,-1.0,False,Aucun
Bihinaayili,9.6017107,-0.8628391,649.0,village/town/hamlet,0,24.78,True,MASA
Biihee,10.0114484,-2.3977569,1052.0,village/town/hamlet,7,16.11,True,MASA
Bilisinga,9.6062153,-0.5174444,502.0,village/town/hamlet,-1,-1.0,False,Aucun
Billa Bong,5.2592932,-2.0655423,166.0,village/town/hamlet,6,18.18,True,MASA
Bilsikura,8.8178466,-1.4501849,486.0,village/town/hamlet,24,19.62,True,MASA
Bima No.1,6.8442508,-1.3499585,212.0,village/town/hamlet,26,23.71,True,Zipline
Bima No.2,6.8471283,-1.3443795,266.0,village/town/hamlet,26,23.5,True,Zipline
Bimbago,10.5852183,-0.1025872,2274.0,village/town/hamlet,-1,-1.0,False,Aucun
Bimbari,8.3468441,-0.2543485,330.0,village/town/hamlet,30,66.57,True,Zipline
Bimbilla,8.859349,0.0557043,34262.0,village/town/hamlet,-1,-1.0,False,Aucun
Bimbini,10.3289571,-1.0644685,226.0,village/town/hamlet,27,28.62,True,Zipline
Bimma,7.048104,-1.3541261,699.0,village/town/hamlet,26,3.53,True,Zipline
BimponAgya,5.6680933,-1.5424387,952.0,village/town/hamlet,10,19.74,True,MASA
Bimponso,5.6846965,-1.496562,440.0,village/town/hamlet,10,21.93,True,MASA
Binalogdo Katajeli,8.9536319,-0.1665491,879.0,village/town/hamlet,-1,-1.0,False,Aucun
Bincheratanga,9.1105549,-0.0004471,1608.0,village/town/hamlet,15,19.25,True,MASA
Binda,8.7673757,0.0554549,1645.0,village/town/hamlet,-1,-1.0,False,Aucun
Bindure,9.8853688,-0.4330414,579.0,village/town/hamlet,27,65.42,True,Zipline
Binduri,10.319817,-0.273537,385.0,village/town/hamlet,27,58.05,True,Zipline
Binduri,10.324892,-0.6698161,813.0,village/town/hamlet,27,14.83,True,Zipline
Binduri,10.9694889,-0.3062234,1651.0,village/town/hamlet,20,19.36,True,MASA
Binjai,8.7406873,-0.5055176,875.0,village/town/hamlet,-1,-1.0,False,Aucun
Binkyem,7.123367,-2.1180171,328.0,village/town/hamlet,-1,-1.0,False,Aucun
Binpordo,8.6929311,-0.115611,122.0,village/town/hamlet,-1,-1.0,False,Aucun
Binsere,6.2116382,-1.7080145,5779.0,suburb,-1,-1.0,False,Aucun
Binyinkumdo,9.1022074,0.3247747,916.0,village/town/hamlet,-1,-1.0,False,Aucun
Biokurom,7.0534226,-2.0543844,985.0,village/town/hamlet,26,73.81,True,Zipline
Birem,7.2251715,-0.9887776,1546.0,village/town/hamlet,26,47.71,True,Zipline
Birewu,6.6714369,-0.884551,209.0,village/town/hamlet,26,69.81,True,Zipline
Biribiwomang,6.3356524,-1.6464249,1329.0,village/town/hamlet,-1,-1.0,False,Aucun
Biribiwomanmu,6.3658341,-1.574281,3478.0,village/town/hamlet,26,79.36,True,Zipline
Birifa Onyenso,6.7935282,-0.7814978,113.0,village/town/hamlet,26,72.71,True,Zipline
Birifoh,10.5164418,-2.8613653,944.0,village/town/hamlet,-1,-1.0,False,Aucun
Birim Aboye,5.9594632,-1.2571782,462.0,village/town/hamlet,-1,-1.0,False,Aucun
Birim Amona,6.1832541,-0.5438072,4926.0,village/town/hamlet,25,11.0,True,Zipline
Biriwa,5.1635976,-1.150382,7419.0,village/town/hamlet,1,11.38,True,MASA
Bisa,6.3528388,-0.1161021,804.0,village/town/hamlet,29,34.28,True,Zipline
Bisaaso No 2,5.5289032,-2.4817195,352.0,village/town/hamlet,28,72.62,True,Zipline
Bisase,5.864859,-0.2219075,660.0,village/town/hamlet,25,45.02,True,Zipline
Bisayem,9.3838448,0.3201454,341.0,village/town/hamlet,-1,-1.0,False,Aucun
Biseasi,5.4589192,-0.9760287,15790.0,village/town/hamlet,1,29.64,True,MASA
Bisi,7.2976157,-2.1028358,617.0,village/town/hamlet,5,22.04,True,MASA
Bisibo,6.5020238,-0.3910124,539.0,village/town/hamlet,25,33.84,True,Zipline
Bithinayili,9.6446737,-0.9883198,151.0,village/town/hamlet,-1,-1.0,False,Aucun
Biu,10.7754386,-1.1093779,1627.0,village/town/hamlet,27,58.2,True,Zipline
Biung,10.6821132,-0.6676508,923.0,village/town/hamlet,27,40.11,True,Zipline
Biwaldo,9.8065286,0.2807718,396.0,village/town/hamlet,18,17.82,True,MASA
Biyori,10.225832,-1.5066424,153.0,village/town/hamlet,27,78.1,True,Zipline
Bizongo,8.2378526,0.1907643,878.0,village/town/hamlet,30,53.78,True,Zipline
Blackmankrom,6.9959697,-3.0773923,561.0,isolated_dwelling,23,12.81,True,MASA
Bladjal,8.3772855,0.1038421,1953.0,village/town/hamlet,13,26.61,True,MASA
Blameazado,5.930305,0.7691352,1590.0,village/town/hamlet,9,28.37,True,MASA
Blebage,10.1667495,0.1115799,265.0,village/town/hamlet,22,15.84,True,MASA
Blema,9.3406158,-2.4343314,812.0,village/town/hamlet,-1,-1.0,False,Aucun
Blepon,6.4239851,-0.1424414,801.0,village/town/hamlet,29,34.45,True,Zipline
Blepon Korlewa,6.3886038,-0.1977539,308.0,village/town/hamlet,25,34.37,True,Zipline
Blepon Kperti,6.4051699,-0.1587707,1118.0,village/town/hamlet,29,36.69,True,Zipline
Bleponsu,6.3141522,-0.2428633,530.0,village/town/hamlet,25,25.67,True,Zipline
Blockso,5.8109744,-2.4366582,5509.0,suburb,28,41.59,True,Zipline
Blonya,6.1005177,0.1808569,487.0,village/town/hamlet,29,43.19,True,Zipline
Boabeng,7.7079284,-1.6941748,1439.0,village/town/hamlet,12,17.9,True,MASA
Boadeso,5.9073977,-0.2013642,516.0,village/town/hamlet,25,42.56,True,Zipline
Boadi,6.6797576,-1.5429737,27177.0,suburb,26,45.15,True,Zipline
Boafokope Wonyi,5.9603703,0.4189986,487.0,isolated_dwelling,29,65.21,True,Zipline
Boagyaa No.1,6.9400034,-2.1867567,653.0,village/town/hamlet,-1,-1.0,False,Aucun
Boahenekurom,5.8826971,-0.3012121,504.0,village/town/hamlet,25,39.03,True,Zipline
Boakam,8.1219847,0.011909,530.0,village/town/hamlet,30,36.11,True,Zipline
Boakipe,8.7479068,-1.7418121,243.0,village/town/hamlet,24,26.08,True,MASA
Boako,6.398042,-2.5675743,5692.0,village/town/hamlet,28,25.72,True,Zipline
Boakyekrom,6.5406291,-2.4649808,396.0,village/town/hamlet,28,39.94,True,Zipline
Boakyekrom,6.6530243,-2.3091525,345.0,village/town/hamlet,28,55.84,True,Zipline
Boakyekrom (Larbikrom),6.8588504,-2.7297375,548.0,village/town/hamlet,28,79.99,True,Zipline
Boakyekurom,6.5832543,-2.6070039,950.0,isolated_dwelling,28,46.63,True,Zipline
Boakyiasua,6.6739851,-2.8091527,366.0,village/town/hamlet,28,65.42,True,Zipline
Boama,6.8354087,-0.7626415,585.0,village/town/hamlet,26,72.94,True,Zipline
Boama,7.6601499,-1.6344434,442.0,village/town/hamlet,12,26.22,True,MASA
Boamadumase,6.6189771,-1.3412118,898.0,village/town/hamlet,26,48.67,True,Zipline
Boaman,6.4680312,-1.5609974,2891.0,village/town/hamlet,26,68.03,True,Zipline
Boamang,6.9419641,-1.6178261,17651.0,village/town/hamlet,26,28.53,True,Zipline
Boamasa,10.279998,-0.6568613,660.0,village/town/hamlet,27,17.69,True,Zipline
Boanim,7.0327251,-1.4901216,3812.0,village/town/hamlet,26,11.8,True,Zipline
Boankra,6.6951423,-1.4040121,2902.0,village/town/hamlet,26,40.01,True,Zipline
Boase,8.0223218,-2.2972632,1220.0,village/town/hamlet,-1,-1.0,False,Aucun
Boashe,9.3639568,-0.7446498,2432.0,village/town/hamlet,0,7.98,True,MASA
Boaso,7.1098661,-2.064746,678.0,village/town/hamlet,26,75.2,True,Zipline
Boasu,7.6711364,-2.15085,377.0,village/town/hamlet,5,21.04,True,MASA
Boatemgkurom,6.502357,-1.2309541,295.0,village/town/hamlet,26,63.72,True,Zipline
Boateng,6.6770354,-0.9560466,443.0,isolated_dwelling,26,63.32,True,Zipline
Boatenkurom,6.6849927,-2.0126036,202.0,village/town/hamlet,28,76.47,True,Zipline
Boatenkurom,6.7764117,-1.3546255,290.0,village/town/hamlet,26,31.11,True,Zipline
Boatenkurom,6.8099488,-1.9248403,522.0,village/town/hamlet,26,65.45,True,Zipline
Boayili,8.6673624,0.0726363,2715.0,village/town/hamlet,-1,-1.0,False,Aucun
Boayini,10.3487968,-0.5931273,1537.0,village/town/hamlet,27,23.01,True,Zipline
Bobi,5.482066,-1.4371276,351.0,village/town/hamlet,10,10.66,True,MASA
Bobiekrom,6.5253293,-2.1129419,336.0,village/town/hamlet,28,56.07,True,Zipline
Bobikuma,5.5581984,-0.8562358,8722.0,village/town/hamlet,4,29.83,True,MASA
Bobin,7.1428115,-1.3992025,1045.0,village/town/hamlet,26,9.94,True,Zipline
Bobkrom,5.6654612,-1.8891239,441.0,village/town/hamlet,-1,-1.0,False,Aucun
Bobkrom,6.7937825,-2.5143886,9393.0,suburb,28,68.11,True,Zipline
Boboohe,6.7776782,-0.8564857,52.0,village/town/hamlet,26,66.01,True,Zipline
Bobra,7.2443989,-1.6985115,330.0,village/town/hamlet,26,40.48,True,Zipline
Bobrama,4.9149659,-2.2997082,1408.0,village/town/hamlet,17,6.57,True,MASA
Bobriase,6.2947418,-1.6211714,4130.0,village/town/hamlet,-1,-1.0,False,Aucun
Bobunu,7.4958359,-2.8224194,1546.0,village/town/hamlet,16,10.85,True,MASA
Bodaa,7.781857,-2.8211689,1044.0,village/town/hamlet,16,22.11,True,MASA
Bodada,7.3650429,0.4889336,3000.0,village/town/hamlet,30,73.3,True,Zipline
